chamber_id,equipment_id,chamber_name,chamber_type,status,installed_at
CMP_CU_11_CH01,CMP_CU_11,CMP_CU_11_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_12_CH01,CMP_CU_12,CMP_CU_12_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_13_CH01,CMP_CU_13,CMP_CU_13_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_15_CH01,CMP_CU_15,CMP_CU_15_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_21_CH01,CMP_CU_21,CMP_CU_21_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_22_CH01,CMP_CU_22,CMP_CU_22_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
CMP_CU_23_CH01,CMP_CU_23,CMP_CU_23_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
CVD_FILM_07_CH01,CVD_FILM_07,CVD_FILM_07_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
CVD_ILD_17_CH01,CVD_ILD_17,CVD_ILD_17_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_1000_CH01,EQ_V2_1000,EQ_V2_1000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_2000_CH01,EQ_V2_2000,EQ_V2_2000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_3000_CH01,EQ_V2_3000,EQ_V2_3000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_4000_CH01,EQ_V2_4000,EQ_V2_4000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_5000_CH01,EQ_V2_5000,EQ_V2_5000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_6000_CH01,EQ_V2_6000,EQ_V2_6000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_6400_CH01,EQ_V2_6400,EQ_V2_6400_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_7000_CH01,EQ_V2_7000,EQ_V2_7000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_8000_CH01,EQ_V2_8000,EQ_V2_8000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
EQ_V2_9000_CH01,EQ_V2_9000,EQ_V2_9000_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
ETCH_METAL_08_CH01,ETCH_METAL_08,ETCH_METAL_08_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
IMP_WELL_03_CH01,IMP_WELL_03,IMP_WELL_03_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
LITHO_SCN_06_CH01,LITHO_SCN_06,LITHO_SCN_06_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
MET_CU_MAP_13_CH01,MET_CU_MAP_13,MET_CU_MAP_13_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
MET_FILM_03_CH01,MET_FILM_03,MET_FILM_03_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
MET_FILM_04_CH01,MET_FILM_04,MET_FILM_04_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
MET_FILM_11_CH01,MET_FILM_11,MET_FILM_11_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
MET_FILM_12_CH01,MET_FILM_12,MET_FILM_12_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
PLATE_CU_04_CH01,PLATE_CU_04,PLATE_CU_04_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
PLATE_CU_09_CH01,PLATE_CU_09,PLATE_CU_09_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_07_CH01,WAT_CELL_07,WAT_CELL_07_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_08_CH01,WAT_CELL_08,WAT_CELL_08_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_09_CH01,WAT_CELL_09,WAT_CELL_09_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_10_CH01,WAT_CELL_10,WAT_CELL_10_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_12_CH01,WAT_CELL_12,WAT_CELL_12_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
WAT_CELL_13_CH01,WAT_CELL_13,WAT_CELL_13_CH01,PROCESS,ACTIVE,2024-01-01T00:00:00+00:00
