lot_id,wafer_id,inspection_operation_no,defect_type,defect_count,defect_density,pattern_type,location_region,inspected_at
LOT_V2_01_SRC,LOT_V2_01_SRC_W01,6400,directional micro-scratch bands,18,0.8,directional micro-scratch bands,MIXED,2026-06-02T18:00:00+00:00
LOT_V2_01_IMP_01,LOT_V2_01_IMP_01_W01,6400,directional micro-scratch bands,2,0.05,directional micro-scratch bands,MIXED,2026-06-02T21:00:00+00:00
LOT_V2_01_IMP_02,LOT_V2_01_IMP_02_W01,6400,directional micro-scratch bands,2,0.05,directional micro-scratch bands,MIXED,2026-06-03T00:00:00+00:00
LOT_V2_01_CTRL_01,LOT_V2_01_CTRL_01_W01,6400,directional micro-scratch bands,2,0.05,directional micro-scratch bands,MIXED,2026-06-03T03:00:00+00:00
LOT_V2_01_CTRL_02,LOT_V2_01_CTRL_02_W01,6400,directional micro-scratch bands,2,0.05,directional micro-scratch bands,MIXED,2026-06-03T06:00:00+00:00
LOT_V2_02_SRC,LOT_V2_02_SRC_W01,6400,edge dishing asymmetry,18,0.8,edge dishing asymmetry,MIXED,2026-06-03T18:00:00+00:00
LOT_V2_02_IMP_01,LOT_V2_02_IMP_01_W01,6400,edge dishing asymmetry,2,0.05,edge dishing asymmetry,MIXED,2026-06-03T21:00:00+00:00
LOT_V2_02_IMP_02,LOT_V2_02_IMP_02_W01,6400,edge dishing asymmetry,2,0.05,edge dishing asymmetry,MIXED,2026-06-04T00:00:00+00:00
LOT_V2_02_IMP_03,LOT_V2_02_IMP_03_W01,6400,edge dishing asymmetry,2,0.05,edge dishing asymmetry,MIXED,2026-06-04T03:00:00+00:00
LOT_V2_02_CTRL_01,LOT_V2_02_CTRL_01_W01,6400,edge dishing asymmetry,2,0.05,edge dishing asymmetry,MIXED,2026-06-04T06:00:00+00:00
LOT_V2_02_CTRL_02,LOT_V2_02_CTRL_02_W01,6400,edge dishing asymmetry,2,0.05,edge dishing asymmetry,MIXED,2026-06-04T09:00:00+00:00
LOT_V2_03_SRC,LOT_V2_03_SRC_W01,6400,parallel edge scratches,18,0.8,parallel edge scratches,MIXED,2026-06-04T18:00:00+00:00
LOT_V2_03_IMP_01,LOT_V2_03_IMP_01_W01,6400,parallel edge scratches,2,0.05,parallel edge scratches,MIXED,2026-06-04T21:00:00+00:00
LOT_V2_03_IMP_02,LOT_V2_03_IMP_02_W01,6400,parallel edge scratches,2,0.05,parallel edge scratches,MIXED,2026-06-05T00:00:00+00:00
LOT_V2_03_CTRL_01,LOT_V2_03_CTRL_01_W01,6400,parallel edge scratches,2,0.05,parallel edge scratches,MIXED,2026-06-05T03:00:00+00:00
LOT_V2_03_CTRL_02,LOT_V2_03_CTRL_02_W01,6400,parallel edge scratches,2,0.05,parallel edge scratches,MIXED,2026-06-05T06:00:00+00:00
LOT_V2_04_SRC,LOT_V2_04_SRC_W01,6400,apparent removal-rate step,18,0.8,apparent removal-rate step,MIXED,2026-06-05T18:00:00+00:00
LOT_V2_04_CTRL_01,LOT_V2_04_CTRL_01_W01,6400,apparent removal-rate step,2,0.05,apparent removal-rate step,MIXED,2026-06-05T21:00:00+00:00
LOT_V2_04_CTRL_02,LOT_V2_04_CTRL_02_W01,6400,apparent removal-rate step,2,0.05,apparent removal-rate step,MIXED,2026-06-06T00:00:00+00:00
LOT_V2_05_SRC,LOT_V2_05_SRC_W01,6400,center residue islands,18,0.8,center residue islands,MIXED,2026-06-06T18:00:00+00:00
LOT_V2_05_CTRL_01,LOT_V2_05_CTRL_01_W01,6400,center residue islands,2,0.05,center residue islands,MIXED,2026-06-06T21:00:00+00:00
LOT_V2_05_CTRL_02,LOT_V2_05_CTRL_02_W01,6400,center residue islands,2,0.05,center residue islands,MIXED,2026-06-07T00:00:00+00:00
LOT_V2_06_SRC,LOT_V2_06_SRC_W01,2000,isolated sidewall roughness,18,0.8,isolated sidewall roughness,MIXED,2026-06-07T18:00:00+00:00
LOT_V2_06_CTRL_01,LOT_V2_06_CTRL_01_W01,2000,isolated sidewall roughness,2,0.05,isolated sidewall roughness,MIXED,2026-06-07T21:00:00+00:00
LOT_V2_06_CTRL_02,LOT_V2_06_CTRL_02_W01,2000,isolated sidewall roughness,2,0.05,isolated sidewall roughness,MIXED,2026-06-08T00:00:00+00:00
LOT_V2_07_SRC,LOT_V2_07_SRC_W01,2000,via CD widening,18,0.8,via CD widening,MIXED,2026-06-08T18:00:00+00:00
LOT_V2_07_IMP_01,LOT_V2_07_IMP_01_W01,2000,via CD widening,2,0.05,via CD widening,MIXED,2026-06-08T21:00:00+00:00
LOT_V2_07_IMP_02,LOT_V2_07_IMP_02_W01,2000,via CD widening,2,0.05,via CD widening,MIXED,2026-06-09T00:00:00+00:00
LOT_V2_07_CTRL_01,LOT_V2_07_CTRL_01_W01,2000,via CD widening,2,0.05,via CD widening,MIXED,2026-06-09T03:00:00+00:00
LOT_V2_07_CTRL_02,LOT_V2_07_CTRL_02_W01,2000,via CD widening,2,0.05,via CD widening,MIXED,2026-06-09T06:00:00+00:00
LOT_V2_08_SRC,LOT_V2_08_SRC_W01,6400,radial erosion growth,18,0.8,radial erosion growth,MIXED,2026-06-09T18:00:00+00:00
LOT_V2_08_IMP_01,LOT_V2_08_IMP_01_W01,6400,radial erosion growth,2,0.05,radial erosion growth,MIXED,2026-06-09T21:00:00+00:00
LOT_V2_08_IMP_02,LOT_V2_08_IMP_02_W01,6400,radial erosion growth,2,0.05,radial erosion growth,MIXED,2026-06-10T00:00:00+00:00
LOT_V2_08_IMP_03,LOT_V2_08_IMP_03_W01,6400,radial erosion growth,2,0.05,radial erosion growth,MIXED,2026-06-10T03:00:00+00:00
LOT_V2_08_CTRL_01,LOT_V2_08_CTRL_01_W01,6400,radial erosion growth,2,0.05,radial erosion growth,MIXED,2026-06-10T06:00:00+00:00
LOT_V2_08_CTRL_02,LOT_V2_08_CTRL_02_W01,6400,radial erosion growth,2,0.05,radial erosion growth,MIXED,2026-06-10T09:00:00+00:00
LOT_V2_09_SRC,LOT_V2_09_SRC_W01,6400,repeating arc scratches,18,0.8,repeating arc scratches,MIXED,2026-06-10T18:00:00+00:00
LOT_V2_09_IMP_01,LOT_V2_09_IMP_01_W01,6400,repeating arc scratches,2,0.05,repeating arc scratches,MIXED,2026-06-10T21:00:00+00:00
LOT_V2_09_IMP_02,LOT_V2_09_IMP_02_W01,6400,repeating arc scratches,2,0.05,repeating arc scratches,MIXED,2026-06-11T00:00:00+00:00
LOT_V2_09_IMP_03,LOT_V2_09_IMP_03_W01,6400,repeating arc scratches,2,0.05,repeating arc scratches,MIXED,2026-06-11T03:00:00+00:00
LOT_V2_09_CTRL_01,LOT_V2_09_CTRL_01_W01,6400,repeating arc scratches,2,0.05,repeating arc scratches,MIXED,2026-06-11T06:00:00+00:00
LOT_V2_09_CTRL_02,LOT_V2_09_CTRL_02_W01,6400,repeating arc scratches,2,0.05,repeating arc scratches,MIXED,2026-06-11T09:00:00+00:00
LOT_V2_10_SRC,LOT_V2_10_SRC_W01,9000,threshold-voltage tail shift,18,0.8,threshold-voltage tail shift,MIXED,2026-06-11T18:00:00+00:00
LOT_V2_10_IMP_01,LOT_V2_10_IMP_01_W01,9000,threshold-voltage tail shift,2,0.05,threshold-voltage tail shift,MIXED,2026-06-11T21:00:00+00:00
LOT_V2_10_IMP_02,LOT_V2_10_IMP_02_W01,9000,threshold-voltage tail shift,2,0.05,threshold-voltage tail shift,MIXED,2026-06-12T00:00:00+00:00
LOT_V2_10_CTRL_01,LOT_V2_10_CTRL_01_W01,9000,threshold-voltage tail shift,2,0.05,threshold-voltage tail shift,MIXED,2026-06-12T03:00:00+00:00
LOT_V2_10_CTRL_02,LOT_V2_10_CTRL_02_W01,9000,threshold-voltage tail shift,2,0.05,threshold-voltage tail shift,MIXED,2026-06-12T06:00:00+00:00
LOT_V2_11_SRC,LOT_V2_11_SRC_W01,9000,serpentine leakage clusters,18,0.8,serpentine leakage clusters,MIXED,2026-06-12T18:00:00+00:00
LOT_V2_11_IMP_01,LOT_V2_11_IMP_01_W01,9000,serpentine leakage clusters,2,0.05,serpentine leakage clusters,MIXED,2026-06-12T21:00:00+00:00
LOT_V2_11_IMP_02,LOT_V2_11_IMP_02_W01,9000,serpentine leakage clusters,2,0.05,serpentine leakage clusters,MIXED,2026-06-13T00:00:00+00:00
LOT_V2_11_CTRL_01,LOT_V2_11_CTRL_01_W01,9000,serpentine leakage clusters,2,0.05,serpentine leakage clusters,MIXED,2026-06-13T03:00:00+00:00
LOT_V2_11_CTRL_02,LOT_V2_11_CTRL_02_W01,9000,serpentine leakage clusters,2,0.05,serpentine leakage clusters,MIXED,2026-06-13T06:00:00+00:00
LOT_V2_12_SRC,LOT_V2_12_SRC_W01,8000,odd-slot film thinning,18,0.8,odd-slot film thinning,MIXED,2026-06-13T18:00:00+00:00
LOT_V2_12_IMP_01,LOT_V2_12_IMP_01_W01,8000,odd-slot film thinning,2,0.05,odd-slot film thinning,MIXED,2026-06-13T21:00:00+00:00
LOT_V2_12_IMP_02,LOT_V2_12_IMP_02_W01,8000,odd-slot film thinning,2,0.05,odd-slot film thinning,MIXED,2026-06-14T00:00:00+00:00
LOT_V2_12_IMP_03,LOT_V2_12_IMP_03_W01,8000,odd-slot film thinning,2,0.05,odd-slot film thinning,MIXED,2026-06-14T03:00:00+00:00
LOT_V2_12_CTRL_01,LOT_V2_12_CTRL_01_W01,8000,odd-slot film thinning,2,0.05,odd-slot film thinning,MIXED,2026-06-14T06:00:00+00:00
LOT_V2_12_CTRL_02,LOT_V2_12_CTRL_02_W01,8000,odd-slot film thinning,2,0.05,odd-slot film thinning,MIXED,2026-06-14T09:00:00+00:00
LOT_V2_13_SRC,LOT_V2_13_SRC_W01,6400,short-lived removal-rate dip,18,0.8,short-lived removal-rate dip,MIXED,2026-06-14T18:00:00+00:00
LOT_V2_13_CTRL_01,LOT_V2_13_CTRL_01_W01,6400,short-lived removal-rate dip,2,0.05,short-lived removal-rate dip,MIXED,2026-06-14T21:00:00+00:00
LOT_V2_13_CTRL_02,LOT_V2_13_CTRL_02_W01,6400,short-lived removal-rate dip,2,0.05,short-lived removal-rate dip,MIXED,2026-06-15T00:00:00+00:00
LOT_V2_14_SRC,LOT_V2_14_SRC_W01,9000,contact-resistance spikes,18,0.8,contact-resistance spikes,MIXED,2026-06-15T18:00:00+00:00
LOT_V2_14_CTRL_01,LOT_V2_14_CTRL_01_W01,9000,contact-resistance spikes,2,0.05,contact-resistance spikes,MIXED,2026-06-15T21:00:00+00:00
LOT_V2_14_CTRL_02,LOT_V2_14_CTRL_02_W01,9000,contact-resistance spikes,2,0.05,contact-resistance spikes,MIXED,2026-06-16T00:00:00+00:00
