hold_id,lot_id,wafer_id,hold_type,hold_code,hold_reason,hold_comment,created_by,created_at,released_by,released_at,release_comment
HOLD_IF_V2_001,LOT_V2_01_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-02T19:00:00+00:00,,,
HOLD_IF_V2_002,LOT_V2_02_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-03T19:00:00+00:00,,,
HOLD_IF_V2_003,LOT_V2_03_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-04T19:00:00+00:00,,,
HOLD_IF_V2_004,LOT_V2_04_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-05T19:00:00+00:00,,,
HOLD_IF_V2_005,LOT_V2_05_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-06T19:00:00+00:00,,,
HOLD_IF_V2_006,LOT_V2_06_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-07T19:00:00+00:00,,,
HOLD_IF_V2_007,LOT_V2_07_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-08T19:00:00+00:00,,,
HOLD_IF_V2_008,LOT_V2_08_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-09T19:00:00+00:00,,,
HOLD_IF_V2_009,LOT_V2_09_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-10T19:00:00+00:00,,,
HOLD_IF_V2_010,LOT_V2_10_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-11T19:00:00+00:00,,,
HOLD_IF_V2_011,LOT_V2_11_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-12T19:00:00+00:00,,,
HOLD_IF_V2_012,LOT_V2_12_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-13T19:00:00+00:00,,,
HOLD_IF_V2_013,LOT_V2_13_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-14T19:00:00+00:00,,,
HOLD_IF_V2_014,LOT_V2_14_SRC,,ENGINEERING,SYNTHETIC_V2_REVIEW,Causal-scope evaluation signal,Synthetic evaluation Lot; detected location is not causal proof.,SYNTHETIC_AUTO,2026-06-15T19:00:00+00:00,,,
