lot_id,product_id,technology,route_id,wafer_qty,lot_type,priority,status,current_operation_no,created_at,started_at,finished_at
LOT_V2_01_SRC,PROD_V2_01,Synthetic 28nm logic,ROUTE_PROD_V2_01,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-01T22:00:00+00:00,2026-06-02T00:00:00+00:00,2026-06-02T20:00:00+00:00
LOT_V2_01_IMP_01,PROD_V2_01,Synthetic 28nm logic,ROUTE_PROD_V2_01,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-01T23:00:00+00:00,2026-06-02T01:00:00+00:00,2026-06-02T21:00:00+00:00
LOT_V2_01_IMP_02,PROD_V2_01,Synthetic 28nm logic,ROUTE_PROD_V2_01,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-02T00:00:00+00:00,2026-06-02T02:00:00+00:00,2026-06-02T22:00:00+00:00
LOT_V2_01_CTRL_01,PROD_V2_01,Synthetic 28nm logic,ROUTE_PROD_V2_01,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-02T10:00:00+00:00,2026-06-02T12:00:00+00:00,2026-06-03T08:00:00+00:00
LOT_V2_01_CTRL_02,PROD_V2_01,Synthetic 28nm logic,ROUTE_PROD_V2_01,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-02T13:00:00+00:00,2026-06-02T15:00:00+00:00,2026-06-03T11:00:00+00:00
LOT_V2_02_SRC,PROD_V2_02,Synthetic 28nm logic,ROUTE_PROD_V2_02,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-02T22:00:00+00:00,2026-06-03T00:00:00+00:00,2026-06-03T20:00:00+00:00
LOT_V2_02_IMP_01,PROD_V2_02,Synthetic 28nm logic,ROUTE_PROD_V2_02,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-02T23:00:00+00:00,2026-06-03T01:00:00+00:00,2026-06-03T21:00:00+00:00
LOT_V2_02_IMP_02,PROD_V2_02,Synthetic 28nm logic,ROUTE_PROD_V2_02,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-03T00:00:00+00:00,2026-06-03T02:00:00+00:00,2026-06-03T22:00:00+00:00
LOT_V2_02_IMP_03,PROD_V2_02,Synthetic 28nm logic,ROUTE_PROD_V2_02,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-03T01:00:00+00:00,2026-06-03T03:00:00+00:00,2026-06-03T23:00:00+00:00
LOT_V2_02_CTRL_01,PROD_V2_02,Synthetic 28nm logic,ROUTE_PROD_V2_02,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-03T10:00:00+00:00,2026-06-03T12:00:00+00:00,2026-06-04T08:00:00+00:00
LOT_V2_02_CTRL_02,PROD_V2_02,Synthetic 28nm logic,ROUTE_PROD_V2_02,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-03T13:00:00+00:00,2026-06-03T15:00:00+00:00,2026-06-04T11:00:00+00:00
LOT_V2_03_SRC,PROD_V2_03,Synthetic 28nm logic,ROUTE_PROD_V2_03,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-03T22:00:00+00:00,2026-06-04T00:00:00+00:00,2026-06-04T20:00:00+00:00
LOT_V2_03_IMP_01,PROD_V2_03,Synthetic 28nm logic,ROUTE_PROD_V2_03,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-03T23:00:00+00:00,2026-06-04T01:00:00+00:00,2026-06-04T21:00:00+00:00
LOT_V2_03_IMP_02,PROD_V2_03,Synthetic 28nm logic,ROUTE_PROD_V2_03,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-04T00:00:00+00:00,2026-06-04T02:00:00+00:00,2026-06-04T22:00:00+00:00
LOT_V2_03_CTRL_01,PROD_V2_03,Synthetic 28nm logic,ROUTE_PROD_V2_03,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-04T10:00:00+00:00,2026-06-04T12:00:00+00:00,2026-06-05T08:00:00+00:00
LOT_V2_03_CTRL_02,PROD_V2_03,Synthetic 28nm logic,ROUTE_PROD_V2_03,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-04T13:00:00+00:00,2026-06-04T15:00:00+00:00,2026-06-05T11:00:00+00:00
LOT_V2_04_SRC,PROD_V2_04,Synthetic 28nm logic,ROUTE_PROD_V2_04,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-04T22:00:00+00:00,2026-06-05T00:00:00+00:00,2026-06-05T20:00:00+00:00
LOT_V2_04_CTRL_01,PROD_V2_04,Synthetic 28nm logic,ROUTE_PROD_V2_04,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-05T10:00:00+00:00,2026-06-05T12:00:00+00:00,2026-06-06T08:00:00+00:00
LOT_V2_04_CTRL_02,PROD_V2_04,Synthetic 28nm logic,ROUTE_PROD_V2_04,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-05T13:00:00+00:00,2026-06-05T15:00:00+00:00,2026-06-06T11:00:00+00:00
LOT_V2_05_SRC,PROD_V2_05,Synthetic 28nm logic,ROUTE_PROD_V2_05,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-05T22:00:00+00:00,2026-06-06T00:00:00+00:00,2026-06-06T20:00:00+00:00
LOT_V2_05_CTRL_01,PROD_V2_05,Synthetic 28nm logic,ROUTE_PROD_V2_05,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-06T10:00:00+00:00,2026-06-06T12:00:00+00:00,2026-06-07T08:00:00+00:00
LOT_V2_05_CTRL_02,PROD_V2_05,Synthetic 28nm logic,ROUTE_PROD_V2_05,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-06T13:00:00+00:00,2026-06-06T15:00:00+00:00,2026-06-07T11:00:00+00:00
LOT_V2_06_SRC,PROD_V2_06,Synthetic 28nm logic,ROUTE_PROD_V2_06,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-06T22:00:00+00:00,2026-06-07T00:00:00+00:00,2026-06-07T20:00:00+00:00
LOT_V2_06_CTRL_01,PROD_V2_06,Synthetic 28nm logic,ROUTE_PROD_V2_06,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-07T10:00:00+00:00,2026-06-07T12:00:00+00:00,2026-06-08T08:00:00+00:00
LOT_V2_06_CTRL_02,PROD_V2_06,Synthetic 28nm logic,ROUTE_PROD_V2_06,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-07T13:00:00+00:00,2026-06-07T15:00:00+00:00,2026-06-08T11:00:00+00:00
LOT_V2_07_SRC,PROD_V2_07,Synthetic 28nm logic,ROUTE_PROD_V2_07,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-07T22:00:00+00:00,2026-06-08T00:00:00+00:00,2026-06-08T20:00:00+00:00
LOT_V2_07_IMP_01,PROD_V2_07,Synthetic 28nm logic,ROUTE_PROD_V2_07,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-07T23:00:00+00:00,2026-06-08T01:00:00+00:00,2026-06-08T21:00:00+00:00
LOT_V2_07_IMP_02,PROD_V2_07,Synthetic 28nm logic,ROUTE_PROD_V2_07,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-08T00:00:00+00:00,2026-06-08T02:00:00+00:00,2026-06-08T22:00:00+00:00
LOT_V2_07_CTRL_01,PROD_V2_07,Synthetic 28nm logic,ROUTE_PROD_V2_07,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-08T10:00:00+00:00,2026-06-08T12:00:00+00:00,2026-06-09T08:00:00+00:00
LOT_V2_07_CTRL_02,PROD_V2_07,Synthetic 28nm logic,ROUTE_PROD_V2_07,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-08T13:00:00+00:00,2026-06-08T15:00:00+00:00,2026-06-09T11:00:00+00:00
LOT_V2_08_SRC,PROD_V2_08,Synthetic 28nm logic,ROUTE_PROD_V2_08,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-08T22:00:00+00:00,2026-06-09T00:00:00+00:00,2026-06-09T20:00:00+00:00
LOT_V2_08_IMP_01,PROD_V2_08,Synthetic 28nm logic,ROUTE_PROD_V2_08,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-08T23:00:00+00:00,2026-06-09T01:00:00+00:00,2026-06-09T21:00:00+00:00
LOT_V2_08_IMP_02,PROD_V2_08,Synthetic 28nm logic,ROUTE_PROD_V2_08,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-09T00:00:00+00:00,2026-06-09T02:00:00+00:00,2026-06-09T22:00:00+00:00
LOT_V2_08_IMP_03,PROD_V2_08,Synthetic 28nm logic,ROUTE_PROD_V2_08,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-09T01:00:00+00:00,2026-06-09T03:00:00+00:00,2026-06-09T23:00:00+00:00
LOT_V2_08_CTRL_01,PROD_V2_08,Synthetic 28nm logic,ROUTE_PROD_V2_08,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-09T10:00:00+00:00,2026-06-09T12:00:00+00:00,2026-06-10T08:00:00+00:00
LOT_V2_08_CTRL_02,PROD_V2_08,Synthetic 28nm logic,ROUTE_PROD_V2_08,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-09T13:00:00+00:00,2026-06-09T15:00:00+00:00,2026-06-10T11:00:00+00:00
LOT_V2_09_SRC,PROD_V2_09,Synthetic 28nm logic,ROUTE_PROD_V2_09,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-09T22:00:00+00:00,2026-06-10T00:00:00+00:00,2026-06-10T20:00:00+00:00
LOT_V2_09_IMP_01,PROD_V2_09,Synthetic 28nm logic,ROUTE_PROD_V2_09,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-09T23:00:00+00:00,2026-06-10T01:00:00+00:00,2026-06-10T21:00:00+00:00
LOT_V2_09_IMP_02,PROD_V2_09,Synthetic 28nm logic,ROUTE_PROD_V2_09,1,SYNTHETIC_EVALUATION,5,COMPLETE,9000,2026-06-10T00:00:00+00:00,2026-06-10T02:00:00+00:00,2026-06-10T22:00:00+00:00
