lot_id,wafer_id,operation_no,measurement_stage,metric_name,measured_value,unit,spec_low,spec_high,pass_fail,metrology_tool,measured_at
LOT_V2_01_SRC,LOT_V2_01_SRC_W01,6400,POST_PROCESS,scratch density,0.82,count/mm2,-10.0,10.0,FAIL,CMP_CU_11,2026-06-02T17:00:00+00:00
LOT_V2_01_IMP_01,LOT_V2_01_IMP_01_W01,6400,POST_PROCESS,scratch density,0.0,count/mm2,-10.0,10.0,PASS,CMP_CU_11,2026-06-02T20:00:00+00:00
LOT_V2_01_IMP_02,LOT_V2_01_IMP_02_W01,6400,POST_PROCESS,scratch density,0.0,count/mm2,-10.0,10.0,PASS,CMP_CU_11,2026-06-02T23:00:00+00:00
LOT_V2_01_CTRL_01,LOT_V2_01_CTRL_01_W01,6400,POST_PROCESS,scratch density,0.0,count/mm2,-10.0,10.0,PASS,CMP_CU_11,2026-06-03T02:00:00+00:00
LOT_V2_01_CTRL_02,LOT_V2_01_CTRL_02_W01,6400,POST_PROCESS,scratch density,0.0,count/mm2,-10.0,10.0,PASS,CMP_CU_11,2026-06-03T05:00:00+00:00
LOT_V2_02_SRC,LOT_V2_02_SRC_W01,6400,POST_PROCESS,edge-center thickness delta,41.0,nm,-10.0,10.0,FAIL,CMP_CU_12,2026-06-03T17:00:00+00:00
LOT_V2_02_IMP_01,LOT_V2_02_IMP_01_W01,6400,POST_PROCESS,edge-center thickness delta,0.0,nm,-10.0,10.0,PASS,CMP_CU_12,2026-06-03T20:00:00+00:00
LOT_V2_02_IMP_02,LOT_V2_02_IMP_02_W01,6400,POST_PROCESS,edge-center thickness delta,0.0,nm,-10.0,10.0,PASS,CMP_CU_12,2026-06-03T23:00:00+00:00
LOT_V2_02_IMP_03,LOT_V2_02_IMP_03_W01,6400,POST_PROCESS,edge-center thickness delta,0.0,nm,-10.0,10.0,PASS,CMP_CU_12,2026-06-04T02:00:00+00:00
LOT_V2_02_CTRL_01,LOT_V2_02_CTRL_01_W01,6400,POST_PROCESS,edge-center thickness delta,0.0,nm,-10.0,10.0,PASS,CMP_CU_12,2026-06-04T05:00:00+00:00
LOT_V2_02_CTRL_02,LOT_V2_02_CTRL_02_W01,6400,POST_PROCESS,edge-center thickness delta,0.0,nm,-10.0,10.0,PASS,CMP_CU_12,2026-06-04T08:00:00+00:00
LOT_V2_03_SRC,LOT_V2_03_SRC_W01,6400,POST_PROCESS,edge scratch count,19.0,count/wafer,-10.0,10.0,FAIL,CMP_CU_13,2026-06-04T17:00:00+00:00
LOT_V2_03_IMP_01,LOT_V2_03_IMP_01_W01,6400,POST_PROCESS,edge scratch count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_13,2026-06-04T20:00:00+00:00
LOT_V2_03_IMP_02,LOT_V2_03_IMP_02_W01,6400,POST_PROCESS,edge scratch count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_13,2026-06-04T23:00:00+00:00
LOT_V2_03_CTRL_01,LOT_V2_03_CTRL_01_W01,6400,POST_PROCESS,edge scratch count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_13,2026-06-05T02:00:00+00:00
LOT_V2_03_CTRL_02,LOT_V2_03_CTRL_02_W01,6400,POST_PROCESS,edge scratch count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_13,2026-06-05T05:00:00+00:00
LOT_V2_04_SRC,LOT_V2_04_SRC_W01,6400,POST_PROCESS,reported copper thickness,84.0,nm,-10.0,10.0,FAIL,CMP_CU_14,2026-06-05T17:00:00+00:00
LOT_V2_04_CTRL_01,LOT_V2_04_CTRL_01_W01,6400,POST_PROCESS,reported copper thickness,0.0,nm,-10.0,10.0,PASS,CMP_CU_14,2026-06-05T20:00:00+00:00
LOT_V2_04_CTRL_02,LOT_V2_04_CTRL_02_W01,6400,POST_PROCESS,reported copper thickness,0.0,nm,-10.0,10.0,PASS,CMP_CU_14,2026-06-05T23:00:00+00:00
LOT_V2_05_SRC,LOT_V2_05_SRC_W01,6400,POST_PROCESS,residue area ratio,3.8,percent,-10.0,10.0,FAIL,CMP_CU_15,2026-06-06T17:00:00+00:00
LOT_V2_05_CTRL_01,LOT_V2_05_CTRL_01_W01,6400,POST_PROCESS,residue area ratio,0.0,percent,-10.0,10.0,PASS,CMP_CU_15,2026-06-06T20:00:00+00:00
LOT_V2_05_CTRL_02,LOT_V2_05_CTRL_02_W01,6400,POST_PROCESS,residue area ratio,0.0,percent,-10.0,10.0,PASS,CMP_CU_15,2026-06-06T23:00:00+00:00
LOT_V2_06_SRC,LOT_V2_06_SRC_W01,2000,POST_PROCESS,roughness index,1.7,a.u.,-10.0,10.0,FAIL,ETCH_METAL_08,2026-06-07T17:00:00+00:00
LOT_V2_06_CTRL_01,LOT_V2_06_CTRL_01_W01,2000,POST_PROCESS,roughness index,0.0,a.u.,-10.0,10.0,PASS,ETCH_METAL_08,2026-06-07T20:00:00+00:00
LOT_V2_06_CTRL_02,LOT_V2_06_CTRL_02_W01,2000,POST_PROCESS,roughness index,0.0,a.u.,-10.0,10.0,PASS,ETCH_METAL_08,2026-06-07T23:00:00+00:00
LOT_V2_07_SRC,LOT_V2_07_SRC_W01,2000,POST_PROCESS,via CD bias,12.0,nm,-10.0,10.0,FAIL,ETCH_VIA_09,2026-06-08T17:00:00+00:00
LOT_V2_07_IMP_01,LOT_V2_07_IMP_01_W01,2000,POST_PROCESS,via CD bias,0.0,nm,-10.0,10.0,PASS,ETCH_VIA_09,2026-06-08T20:00:00+00:00
LOT_V2_07_IMP_02,LOT_V2_07_IMP_02_W01,2000,POST_PROCESS,via CD bias,0.0,nm,-10.0,10.0,PASS,ETCH_VIA_09,2026-06-08T23:00:00+00:00
LOT_V2_07_CTRL_01,LOT_V2_07_CTRL_01_W01,2000,POST_PROCESS,via CD bias,0.0,nm,-10.0,10.0,PASS,ETCH_VIA_09,2026-06-09T02:00:00+00:00
LOT_V2_07_CTRL_02,LOT_V2_07_CTRL_02_W01,2000,POST_PROCESS,via CD bias,0.0,nm,-10.0,10.0,PASS,ETCH_VIA_09,2026-06-09T05:00:00+00:00
LOT_V2_08_SRC,LOT_V2_08_SRC_W01,6400,POST_PROCESS,erosion range,36.0,nm,-10.0,10.0,FAIL,CMP_CU_21,2026-06-09T17:00:00+00:00
LOT_V2_08_IMP_01,LOT_V2_08_IMP_01_W01,6400,POST_PROCESS,erosion range,0.0,nm,-10.0,10.0,PASS,CMP_CU_21,2026-06-09T20:00:00+00:00
LOT_V2_08_IMP_02,LOT_V2_08_IMP_02_W01,6400,POST_PROCESS,erosion range,0.0,nm,-10.0,10.0,PASS,CMP_CU_21,2026-06-09T23:00:00+00:00
LOT_V2_08_IMP_03,LOT_V2_08_IMP_03_W01,6400,POST_PROCESS,erosion range,0.0,nm,-10.0,10.0,PASS,CMP_CU_21,2026-06-10T02:00:00+00:00
LOT_V2_08_CTRL_01,LOT_V2_08_CTRL_01_W01,6400,POST_PROCESS,erosion range,0.0,nm,-10.0,10.0,PASS,CMP_CU_21,2026-06-10T05:00:00+00:00
LOT_V2_08_CTRL_02,LOT_V2_08_CTRL_02_W01,6400,POST_PROCESS,erosion range,0.0,nm,-10.0,10.0,PASS,CMP_CU_21,2026-06-10T08:00:00+00:00
LOT_V2_09_SRC,LOT_V2_09_SRC_W01,6400,POST_PROCESS,arc defect count,14.0,count/wafer,-10.0,10.0,FAIL,CMP_CU_22,2026-06-10T17:00:00+00:00
LOT_V2_09_IMP_01,LOT_V2_09_IMP_01_W01,6400,POST_PROCESS,arc defect count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_22,2026-06-10T20:00:00+00:00
LOT_V2_09_IMP_02,LOT_V2_09_IMP_02_W01,6400,POST_PROCESS,arc defect count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_22,2026-06-10T23:00:00+00:00
LOT_V2_09_IMP_03,LOT_V2_09_IMP_03_W01,6400,POST_PROCESS,arc defect count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_22,2026-06-11T02:00:00+00:00
LOT_V2_09_CTRL_01,LOT_V2_09_CTRL_01_W01,6400,POST_PROCESS,arc defect count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_22,2026-06-11T05:00:00+00:00
LOT_V2_09_CTRL_02,LOT_V2_09_CTRL_02_W01,6400,POST_PROCESS,arc defect count,0.0,count/wafer,-10.0,10.0,PASS,CMP_CU_22,2026-06-11T08:00:00+00:00
LOT_V2_10_SRC,LOT_V2_10_SRC_W01,9000,POST_PROCESS,Vt p99 shift,47.0,mV,-10.0,10.0,FAIL,WAT_CELL_07,2026-06-11T17:00:00+00:00
LOT_V2_10_IMP_01,LOT_V2_10_IMP_01_W01,9000,POST_PROCESS,Vt p99 shift,0.0,mV,-10.0,10.0,PASS,WAT_CELL_07,2026-06-11T20:00:00+00:00
LOT_V2_10_IMP_02,LOT_V2_10_IMP_02_W01,9000,POST_PROCESS,Vt p99 shift,0.0,mV,-10.0,10.0,PASS,WAT_CELL_07,2026-06-11T23:00:00+00:00
LOT_V2_10_CTRL_01,LOT_V2_10_CTRL_01_W01,9000,POST_PROCESS,Vt p99 shift,0.0,mV,-10.0,10.0,PASS,WAT_CELL_07,2026-06-12T02:00:00+00:00
LOT_V2_10_CTRL_02,LOT_V2_10_CTRL_02_W01,9000,POST_PROCESS,Vt p99 shift,0.0,mV,-10.0,10.0,PASS,WAT_CELL_07,2026-06-12T05:00:00+00:00
LOT_V2_11_SRC,LOT_V2_11_SRC_W01,9000,POST_PROCESS,leakage fail rate,6.4,percent,-10.0,10.0,FAIL,WAT_CELL_08,2026-06-12T17:00:00+00:00
