wafer_id,lot_id,wafer_no,slot,status
LOT_V2_01_SRC_W01,LOT_V2_01_SRC,1,1,COMPLETE
LOT_V2_01_IMP_01_W01,LOT_V2_01_IMP_01,1,1,COMPLETE
LOT_V2_01_IMP_02_W01,LOT_V2_01_IMP_02,1,1,COMPLETE
LOT_V2_01_CTRL_01_W01,LOT_V2_01_CTRL_01,1,1,COMPLETE
LOT_V2_01_CTRL_02_W01,LOT_V2_01_CTRL_02,1,1,COMPLETE
LOT_V2_02_SRC_W01,LOT_V2_02_SRC,1,1,COMPLETE
LOT_V2_02_IMP_01_W01,LOT_V2_02_IMP_01,1,1,COMPLETE
LOT_V2_02_IMP_02_W01,LOT_V2_02_IMP_02,1,1,COMPLETE
LOT_V2_02_IMP_03_W01,LOT_V2_02_IMP_03,1,1,COMPLETE
LOT_V2_02_CTRL_01_W01,LOT_V2_02_CTRL_01,1,1,COMPLETE
LOT_V2_02_CTRL_02_W01,LOT_V2_02_CTRL_02,1,1,COMPLETE
LOT_V2_03_SRC_W01,LOT_V2_03_SRC,1,1,COMPLETE
LOT_V2_03_IMP_01_W01,LOT_V2_03_IMP_01,1,1,COMPLETE
LOT_V2_03_IMP_02_W01,LOT_V2_03_IMP_02,1,1,COMPLETE
LOT_V2_03_CTRL_01_W01,LOT_V2_03_CTRL_01,1,1,COMPLETE
LOT_V2_03_CTRL_02_W01,LOT_V2_03_CTRL_02,1,1,COMPLETE
LOT_V2_04_SRC_W01,LOT_V2_04_SRC,1,1,COMPLETE
LOT_V2_04_CTRL_01_W01,LOT_V2_04_CTRL_01,1,1,COMPLETE
LOT_V2_04_CTRL_02_W01,LOT_V2_04_CTRL_02,1,1,COMPLETE
LOT_V2_05_SRC_W01,LOT_V2_05_SRC,1,1,COMPLETE
LOT_V2_05_CTRL_01_W01,LOT_V2_05_CTRL_01,1,1,COMPLETE
LOT_V2_05_CTRL_02_W01,LOT_V2_05_CTRL_02,1,1,COMPLETE
LOT_V2_06_SRC_W01,LOT_V2_06_SRC,1,1,COMPLETE
LOT_V2_06_CTRL_01_W01,LOT_V2_06_CTRL_01,1,1,COMPLETE
LOT_V2_06_CTRL_02_W01,LOT_V2_06_CTRL_02,1,1,COMPLETE
LOT_V2_07_SRC_W01,LOT_V2_07_SRC,1,1,COMPLETE
LOT_V2_07_IMP_01_W01,LOT_V2_07_IMP_01,1,1,COMPLETE
LOT_V2_07_IMP_02_W01,LOT_V2_07_IMP_02,1,1,COMPLETE
LOT_V2_07_CTRL_01_W01,LOT_V2_07_CTRL_01,1,1,COMPLETE
LOT_V2_07_CTRL_02_W01,LOT_V2_07_CTRL_02,1,1,COMPLETE
LOT_V2_08_SRC_W01,LOT_V2_08_SRC,1,1,COMPLETE
LOT_V2_08_IMP_01_W01,LOT_V2_08_IMP_01,1,1,COMPLETE
LOT_V2_08_IMP_02_W01,LOT_V2_08_IMP_02,1,1,COMPLETE
LOT_V2_08_IMP_03_W01,LOT_V2_08_IMP_03,1,1,COMPLETE
LOT_V2_08_CTRL_01_W01,LOT_V2_08_CTRL_01,1,1,COMPLETE
LOT_V2_08_CTRL_02_W01,LOT_V2_08_CTRL_02,1,1,COMPLETE
LOT_V2_09_SRC_W01,LOT_V2_09_SRC,1,1,COMPLETE
LOT_V2_09_IMP_01_W01,LOT_V2_09_IMP_01,1,1,COMPLETE
LOT_V2_09_IMP_02_W01,LOT_V2_09_IMP_02,1,1,COMPLETE
LOT_V2_09_IMP_03_W01,LOT_V2_09_IMP_03,1,1,COMPLETE
LOT_V2_09_CTRL_01_W01,LOT_V2_09_CTRL_01,1,1,COMPLETE
LOT_V2_09_CTRL_02_W01,LOT_V2_09_CTRL_02,1,1,COMPLETE
LOT_V2_10_SRC_W01,LOT_V2_10_SRC,1,1,COMPLETE
LOT_V2_10_IMP_01_W01,LOT_V2_10_IMP_01,1,1,COMPLETE
LOT_V2_10_IMP_02_W01,LOT_V2_10_IMP_02,1,1,COMPLETE
LOT_V2_10_CTRL_01_W01,LOT_V2_10_CTRL_01,1,1,COMPLETE
LOT_V2_10_CTRL_02_W01,LOT_V2_10_CTRL_02,1,1,COMPLETE
LOT_V2_11_SRC_W01,LOT_V2_11_SRC,1,1,COMPLETE
LOT_V2_11_IMP_01_W01,LOT_V2_11_IMP_01,1,1,COMPLETE
LOT_V2_11_IMP_02_W01,LOT_V2_11_IMP_02,1,1,COMPLETE
LOT_V2_11_CTRL_01_W01,LOT_V2_11_CTRL_01,1,1,COMPLETE
LOT_V2_11_CTRL_02_W01,LOT_V2_11_CTRL_02,1,1,COMPLETE
LOT_V2_12_SRC_W01,LOT_V2_12_SRC,1,1,COMPLETE
LOT_V2_12_IMP_01_W01,LOT_V2_12_IMP_01,1,1,COMPLETE
LOT_V2_12_IMP_02_W01,LOT_V2_12_IMP_02,1,1,COMPLETE
LOT_V2_12_IMP_03_W01,LOT_V2_12_IMP_03,1,1,COMPLETE
LOT_V2_12_CTRL_01_W01,LOT_V2_12_CTRL_01,1,1,COMPLETE
LOT_V2_12_CTRL_02_W01,LOT_V2_12_CTRL_02,1,1,COMPLETE
LOT_V2_13_SRC_W01,LOT_V2_13_SRC,1,1,COMPLETE
LOT_V2_13_CTRL_01_W01,LOT_V2_13_CTRL_01,1,1,COMPLETE
LOT_V2_13_CTRL_02_W01,LOT_V2_13_CTRL_02,1,1,COMPLETE
LOT_V2_14_SRC_W01,LOT_V2_14_SRC,1,1,COMPLETE
LOT_V2_14_CTRL_01_W01,LOT_V2_14_CTRL_01,1,1,COMPLETE
LOT_V2_14_CTRL_02_W01,LOT_V2_14_CTRL_02,1,1,COMPLETE
