lot_id,wafer_id,test_equipment_id,test_item,parameter_name,measured_value,spec_low,spec_high,pass_fail,fail_mode,tested_at
LOT_V2_01_SRC,LOT_V2_01_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-02T20:00:00+00:00
LOT_V2_01_IMP_01,LOT_V2_01_IMP_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-02T23:00:00+00:00
LOT_V2_01_IMP_02,LOT_V2_01_IMP_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-03T02:00:00+00:00
LOT_V2_01_CTRL_01,LOT_V2_01_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-03T05:00:00+00:00
LOT_V2_01_CTRL_02,LOT_V2_01_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-03T08:00:00+00:00
LOT_V2_02_SRC,LOT_V2_02_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-03T20:00:00+00:00
LOT_V2_02_IMP_01,LOT_V2_02_IMP_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-03T23:00:00+00:00
LOT_V2_02_IMP_02,LOT_V2_02_IMP_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-04T02:00:00+00:00
LOT_V2_02_IMP_03,LOT_V2_02_IMP_03_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-04T05:00:00+00:00
LOT_V2_02_CTRL_01,LOT_V2_02_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-04T08:00:00+00:00
LOT_V2_02_CTRL_02,LOT_V2_02_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-04T11:00:00+00:00
LOT_V2_03_SRC,LOT_V2_03_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-04T20:00:00+00:00
LOT_V2_03_IMP_01,LOT_V2_03_IMP_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-04T23:00:00+00:00
LOT_V2_03_IMP_02,LOT_V2_03_IMP_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-05T02:00:00+00:00
LOT_V2_03_CTRL_01,LOT_V2_03_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-05T05:00:00+00:00
LOT_V2_03_CTRL_02,LOT_V2_03_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-05T08:00:00+00:00
LOT_V2_04_SRC,LOT_V2_04_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-05T20:00:00+00:00
LOT_V2_04_CTRL_01,LOT_V2_04_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-05T23:00:00+00:00
LOT_V2_04_CTRL_02,LOT_V2_04_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-06T02:00:00+00:00
LOT_V2_05_SRC,LOT_V2_05_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-06T20:00:00+00:00
LOT_V2_05_CTRL_01,LOT_V2_05_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-06T23:00:00+00:00
LOT_V2_05_CTRL_02,LOT_V2_05_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-07T02:00:00+00:00
LOT_V2_06_SRC,LOT_V2_06_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-07T20:00:00+00:00
LOT_V2_06_CTRL_01,LOT_V2_06_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-07T23:00:00+00:00
LOT_V2_06_CTRL_02,LOT_V2_06_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-08T02:00:00+00:00
LOT_V2_07_SRC,LOT_V2_07_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-08T20:00:00+00:00
LOT_V2_07_IMP_01,LOT_V2_07_IMP_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-08T23:00:00+00:00
LOT_V2_07_IMP_02,LOT_V2_07_IMP_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-09T02:00:00+00:00
LOT_V2_07_CTRL_01,LOT_V2_07_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-09T05:00:00+00:00
LOT_V2_07_CTRL_02,LOT_V2_07_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-09T08:00:00+00:00
LOT_V2_08_SRC,LOT_V2_08_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-09T20:00:00+00:00
LOT_V2_08_IMP_01,LOT_V2_08_IMP_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-09T23:00:00+00:00
LOT_V2_08_IMP_02,LOT_V2_08_IMP_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-10T02:00:00+00:00
LOT_V2_08_IMP_03,LOT_V2_08_IMP_03_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-10T05:00:00+00:00
LOT_V2_08_CTRL_01,LOT_V2_08_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-10T08:00:00+00:00
LOT_V2_08_CTRL_02,LOT_V2_08_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-10T11:00:00+00:00
LOT_V2_09_SRC,LOT_V2_09_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-10T20:00:00+00:00
LOT_V2_09_IMP_01,LOT_V2_09_IMP_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-10T23:00:00+00:00
LOT_V2_09_IMP_02,LOT_V2_09_IMP_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-11T02:00:00+00:00
LOT_V2_09_IMP_03,LOT_V2_09_IMP_03_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-11T05:00:00+00:00
LOT_V2_09_CTRL_01,LOT_V2_09_CTRL_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-11T08:00:00+00:00
LOT_V2_09_CTRL_02,LOT_V2_09_CTRL_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-11T11:00:00+00:00
LOT_V2_10_SRC,LOT_V2_10_SRC_W01,WAT_CELL_07,V2_PRIMARY_ELECTRICAL,Vt p99 shift,47.0,-10.0,10.0,false,SYNTHETIC_SIGNAL,2026-06-11T20:00:00+00:00
LOT_V2_10_SRC,LOT_V2_10_SRC_W01,WAT_CELL_07,METAL_CONTROL,metal_line_resistance,0.98,0.9,1.1,true,,2026-06-11T20:10:00+00:00
LOT_V2_10_SRC,LOT_V2_10_SRC_W01,WAT_CELL_07,SPATIAL_CONTROL,reticle_field_periodicity_index,0.02,0.0,0.1,true,,2026-06-11T20:10:00+00:00
LOT_V2_10_SRC,LOT_V2_10_SRC_W01,WAT_CELL_09,V2_INDEPENDENT_RETEST,Vt p99 shift,47.0,-10.0,10.0,false,SYNTHETIC_SIGNAL_REPRODUCED,2026-06-11T20:30:00+00:00
LOT_V2_10_IMP_01,LOT_V2_10_IMP_01_W01,EQ_V2_9000,V2_PRIMARY_ELECTRICAL,Vt p99 shift,43.0,-10.0,10.0,false,SYNTHETIC_SIGNAL,2026-06-11T23:00:00+00:00
LOT_V2_10_IMP_01,LOT_V2_10_IMP_01_W01,EQ_V2_9000,METAL_CONTROL,metal_line_resistance,0.98,0.9,1.1,true,,2026-06-11T23:10:00+00:00
LOT_V2_10_IMP_01,LOT_V2_10_IMP_01_W01,EQ_V2_9000,SPATIAL_CONTROL,reticle_field_periodicity_index,0.02,0.0,0.1,true,,2026-06-11T23:10:00+00:00
LOT_V2_10_IMP_01,LOT_V2_10_IMP_01_W01,WAT_CELL_09,V2_INDEPENDENT_RETEST,Vt p99 shift,43.0,-10.0,10.0,false,SYNTHETIC_SIGNAL_REPRODUCED,2026-06-11T23:30:00+00:00
LOT_V2_10_IMP_02,LOT_V2_10_IMP_02_W01,EQ_V2_9000,V2_PRIMARY_ELECTRICAL,Vt p99 shift,39.0,-10.0,10.0,false,SYNTHETIC_SIGNAL,2026-06-12T02:00:00+00:00
LOT_V2_10_IMP_02,LOT_V2_10_IMP_02_W01,EQ_V2_9000,METAL_CONTROL,metal_line_resistance,0.98,0.9,1.1,true,,2026-06-12T02:10:00+00:00
LOT_V2_10_IMP_02,LOT_V2_10_IMP_02_W01,EQ_V2_9000,SPATIAL_CONTROL,reticle_field_periodicity_index,0.02,0.0,0.1,true,,2026-06-12T02:10:00+00:00
LOT_V2_10_IMP_02,LOT_V2_10_IMP_02_W01,WAT_CELL_09,V2_INDEPENDENT_RETEST,Vt p99 shift,39.0,-10.0,10.0,false,SYNTHETIC_SIGNAL_REPRODUCED,2026-06-12T02:30:00+00:00
LOT_V2_10_CTRL_01,LOT_V2_10_CTRL_01_W01,EQ_V2_9000,V2_PRIMARY_ELECTRICAL,Vt p99 shift,0.0,-10.0,10.0,true,,2026-06-12T05:00:00+00:00
LOT_V2_10_CTRL_01,LOT_V2_10_CTRL_01_W01,EQ_V2_9000,METAL_CONTROL,metal_line_resistance,0.98,0.9,1.1,true,,2026-06-12T05:10:00+00:00
LOT_V2_10_CTRL_01,LOT_V2_10_CTRL_01_W01,EQ_V2_9000,SPATIAL_CONTROL,reticle_field_periodicity_index,0.02,0.0,0.1,true,,2026-06-12T05:10:00+00:00
LOT_V2_10_CTRL_02,LOT_V2_10_CTRL_02_W01,EQ_V2_9000,V2_PRIMARY_ELECTRICAL,Vt p99 shift,0.0,-10.0,10.0,true,,2026-06-12T08:00:00+00:00
LOT_V2_10_CTRL_02,LOT_V2_10_CTRL_02_W01,EQ_V2_9000,METAL_CONTROL,metal_line_resistance,0.98,0.9,1.1,true,,2026-06-12T08:10:00+00:00
LOT_V2_10_CTRL_02,LOT_V2_10_CTRL_02_W01,EQ_V2_9000,SPATIAL_CONTROL,reticle_field_periodicity_index,0.02,0.0,0.1,true,,2026-06-12T08:10:00+00:00
LOT_V2_11_SRC,LOT_V2_11_SRC_W01,WAT_CELL_08,V2_PRIMARY_ELECTRICAL,leakage fail rate,6.4,0.0,1.0,false,SYNTHETIC_SIGNAL,2026-06-12T20:00:00+00:00
LOT_V2_11_SRC,LOT_V2_11_SRC_W01,WAT_CELL_08,DEVICE_CONTROL,Vt p99 shift,3.0,-10.0,10.0,true,,2026-06-12T20:10:00+00:00
LOT_V2_11_SRC,LOT_V2_11_SRC_W01,WAT_CELL_08,PROBE_CONTROL,probe_contact_resistance,1.0,0.8,1.2,true,,2026-06-12T20:10:00+00:00
LOT_V2_11_SRC,LOT_V2_11_SRC_W01,WAT_CELL_08,SEQUENCE_CONTROL,test_sequence_correlation_index,0.03,0.0,0.1,true,,2026-06-12T20:10:00+00:00
LOT_V2_11_SRC,LOT_V2_11_SRC_W01,WAT_CELL_10,V2_INDEPENDENT_RETEST,leakage fail rate,6.4,0.0,1.0,false,SYNTHETIC_SIGNAL_REPRODUCED,2026-06-12T20:30:00+00:00
LOT_V2_11_IMP_01,LOT_V2_11_IMP_01_W01,EQ_V2_9000,V2_PRIMARY_ELECTRICAL,leakage fail rate,5.8,0.0,1.0,false,SYNTHETIC_SIGNAL,2026-06-12T23:00:00+00:00
LOT_V2_11_IMP_01,LOT_V2_11_IMP_01_W01,EQ_V2_9000,DEVICE_CONTROL,Vt p99 shift,3.0,-10.0,10.0,true,,2026-06-12T23:10:00+00:00
LOT_V2_11_IMP_01,LOT_V2_11_IMP_01_W01,EQ_V2_9000,PROBE_CONTROL,probe_contact_resistance,1.0,0.8,1.2,true,,2026-06-12T23:10:00+00:00
LOT_V2_11_IMP_01,LOT_V2_11_IMP_01_W01,EQ_V2_9000,SEQUENCE_CONTROL,test_sequence_correlation_index,0.03,0.0,0.1,true,,2026-06-12T23:10:00+00:00
LOT_V2_11_IMP_01,LOT_V2_11_IMP_01_W01,WAT_CELL_10,V2_INDEPENDENT_RETEST,leakage fail rate,5.8,0.0,1.0,false,SYNTHETIC_SIGNAL_REPRODUCED,2026-06-12T23:30:00+00:00
LOT_V2_11_IMP_02,LOT_V2_11_IMP_02_W01,EQ_V2_9000,V2_PRIMARY_ELECTRICAL,leakage fail rate,5.1,0.0,1.0,false,SYNTHETIC_SIGNAL,2026-06-13T02:00:00+00:00
LOT_V2_11_IMP_02,LOT_V2_11_IMP_02_W01,EQ_V2_9000,DEVICE_CONTROL,Vt p99 shift,3.0,-10.0,10.0,true,,2026-06-13T02:10:00+00:00
LOT_V2_11_IMP_02,LOT_V2_11_IMP_02_W01,EQ_V2_9000,PROBE_CONTROL,probe_contact_resistance,1.0,0.8,1.2,true,,2026-06-13T02:10:00+00:00
LOT_V2_11_IMP_02,LOT_V2_11_IMP_02_W01,EQ_V2_9000,SEQUENCE_CONTROL,test_sequence_correlation_index,0.03,0.0,0.1,true,,2026-06-13T02:10:00+00:00
LOT_V2_11_IMP_02,LOT_V2_11_IMP_02_W01,WAT_CELL_10,V2_INDEPENDENT_RETEST,leakage fail rate,5.1,0.0,1.0,false,SYNTHETIC_SIGNAL_REPRODUCED,2026-06-13T02:30:00+00:00
LOT_V2_11_CTRL_01,LOT_V2_11_CTRL_01_W01,EQ_V2_9000,V2_PRIMARY_ELECTRICAL,leakage fail rate,0.0,0.0,1.0,true,,2026-06-13T05:00:00+00:00
LOT_V2_11_CTRL_01,LOT_V2_11_CTRL_01_W01,EQ_V2_9000,DEVICE_CONTROL,Vt p99 shift,3.0,-10.0,10.0,true,,2026-06-13T05:10:00+00:00
LOT_V2_11_CTRL_01,LOT_V2_11_CTRL_01_W01,EQ_V2_9000,PROBE_CONTROL,probe_contact_resistance,1.0,0.8,1.2,true,,2026-06-13T05:10:00+00:00
LOT_V2_11_CTRL_01,LOT_V2_11_CTRL_01_W01,EQ_V2_9000,SEQUENCE_CONTROL,test_sequence_correlation_index,0.03,0.0,0.1,true,,2026-06-13T05:10:00+00:00
LOT_V2_11_CTRL_02,LOT_V2_11_CTRL_02_W01,EQ_V2_9000,V2_PRIMARY_ELECTRICAL,leakage fail rate,0.0,0.0,1.0,true,,2026-06-13T08:00:00+00:00
LOT_V2_11_CTRL_02,LOT_V2_11_CTRL_02_W01,EQ_V2_9000,DEVICE_CONTROL,Vt p99 shift,3.0,-10.0,10.0,true,,2026-06-13T08:10:00+00:00
LOT_V2_11_CTRL_02,LOT_V2_11_CTRL_02_W01,EQ_V2_9000,PROBE_CONTROL,probe_contact_resistance,1.0,0.8,1.2,true,,2026-06-13T08:10:00+00:00
LOT_V2_11_CTRL_02,LOT_V2_11_CTRL_02_W01,EQ_V2_9000,SEQUENCE_CONTROL,test_sequence_correlation_index,0.03,0.0,0.1,true,,2026-06-13T08:10:00+00:00
LOT_V2_12_SRC,LOT_V2_12_SRC_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-13T20:00:00+00:00
LOT_V2_12_SRC,LOT_V2_12_SRC_W02,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-13T20:02:00+00:00
LOT_V2_12_SRC,LOT_V2_12_SRC_W03,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-13T20:03:00+00:00
LOT_V2_12_SRC,LOT_V2_12_SRC_W04,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-13T20:04:00+00:00
LOT_V2_12_SRC,LOT_V2_12_SRC_W05,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-13T20:05:00+00:00
LOT_V2_12_SRC,LOT_V2_12_SRC_W06,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-13T20:06:00+00:00
LOT_V2_12_IMP_01,LOT_V2_12_IMP_01_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-13T23:00:00+00:00
LOT_V2_12_IMP_01,LOT_V2_12_IMP_01_W02,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-13T23:02:00+00:00
LOT_V2_12_IMP_01,LOT_V2_12_IMP_01_W03,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-13T23:03:00+00:00
LOT_V2_12_IMP_01,LOT_V2_12_IMP_01_W04,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-13T23:04:00+00:00
LOT_V2_12_IMP_01,LOT_V2_12_IMP_01_W05,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-13T23:05:00+00:00
LOT_V2_12_IMP_01,LOT_V2_12_IMP_01_W06,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-13T23:06:00+00:00
LOT_V2_12_IMP_02,LOT_V2_12_IMP_02_W01,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-14T02:00:00+00:00
LOT_V2_12_IMP_02,LOT_V2_12_IMP_02_W02,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-14T02:02:00+00:00
LOT_V2_12_IMP_02,LOT_V2_12_IMP_02_W03,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.82,0.90,1.00,false,SYNTHETIC_SIGNAL,2026-06-14T02:03:00+00:00
LOT_V2_12_IMP_02,LOT_V2_12_IMP_02_W04,EQ_V2_9000,V2_PARAMETRIC_CHECK,yield_proxy,0.98,0.90,1.00,true,,2026-06-14T02:04:00+00:00
