lot_id,wafer_id,operation_no,equipment_id,chamber_id,recipe_id,recipe_version,parameter_name,baseline_value,observed_value,delta_percent,unit,trend_slope,ooc_flag,severity,measured_at
LOT_N_001,LOT_N_001_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-04T20:15:00+00:00
LOT_N_001,LOT_N_001_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-04T20:15:00+00:00
LOT_N_002,LOT_N_002_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-04T23:15:00+00:00
LOT_N_002,LOT_N_002_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-04T23:15:00+00:00
LOT_N_003,LOT_N_003_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-05T02:15:00+00:00
LOT_N_003,LOT_N_003_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-05T02:15:00+00:00
LOT_N_004,LOT_N_004_W01,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-05T05:15:00+00:00
LOT_N_004,LOT_N_004_W01,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-05T05:15:00+00:00
LOT_N_005,LOT_N_005_W01,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-05T08:15:00+00:00
LOT_N_005,LOT_N_005_W01,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-05T08:15:00+00:00
LOT_N_006,LOT_N_006_W01,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-05T11:15:00+00:00
LOT_N_006,LOT_N_006_W01,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-05T11:15:00+00:00
LOT_N_007,LOT_N_007_W01,6400,CMP_CU01,CMP_CU01_CH04,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-05T14:15:00+00:00
LOT_N_007,LOT_N_007_W01,6400,CMP_CU01,CMP_CU01_CH04,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-05T14:15:00+00:00
LOT_N_008,LOT_N_008_W01,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-05T17:15:00+00:00
LOT_N_008,LOT_N_008_W01,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-05T17:15:00+00:00
LOT_N_009,LOT_N_009_W01,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-05T20:15:00+00:00
LOT_N_009,LOT_N_009_W01,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-05T20:15:00+00:00
LOT_N_010,LOT_N_010_W01,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-05T23:15:00+00:00
LOT_N_010,LOT_N_010_W01,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-05T23:15:00+00:00
LOT_N_011,LOT_N_011_W01,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-06T02:15:00+00:00
LOT_N_011,LOT_N_011_W01,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-06T02:15:00+00:00
LOT_N_012,LOT_N_012_W01,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-06T05:15:00+00:00
LOT_N_012,LOT_N_012_W01,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-06T05:15:00+00:00
LOT_N_013,LOT_N_013_W01,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-06T08:15:00+00:00
LOT_N_013,LOT_N_013_W01,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-06T08:15:00+00:00
LOT_N_014,LOT_N_014_W01,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-06T11:15:00+00:00
LOT_N_014,LOT_N_014_W01,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-06T11:15:00+00:00
LOT_N_015,LOT_N_015_W01,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-06T14:15:00+00:00
LOT_N_015,LOT_N_015_W01,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-06T14:15:00+00:00
LOT_N_016,LOT_N_016_W01,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-06T17:15:00+00:00
LOT_N_016,LOT_N_016_W01,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-06T17:15:00+00:00
LOT_N_017,LOT_N_017_W01,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-06T20:15:00+00:00
LOT_N_017,LOT_N_017_W01,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-06T20:15:00+00:00
LOT_N_018,LOT_N_018_W01,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-06T23:15:00+00:00
LOT_N_018,LOT_N_018_W01,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-06T23:15:00+00:00
LOT_N_019,LOT_N_019_W01,6400,CMP_CU02,CMP_CU02_CH02,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-07T02:15:00+00:00
LOT_N_019,LOT_N_019_W01,6400,CMP_CU02,CMP_CU02_CH02,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-07T02:15:00+00:00
LOT_N_020,LOT_N_020_W01,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-07T05:15:00+00:00
LOT_N_020,LOT_N_020_W01,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-07T05:15:00+00:00
LOT_N_021,LOT_N_021_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-07T08:15:00+00:00
LOT_N_021,LOT_N_021_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-07T08:15:00+00:00
LOT_N_022,LOT_N_022_W01,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-07T11:15:00+00:00
LOT_N_022,LOT_N_022_W01,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-07T11:15:00+00:00
LOT_N_023,LOT_N_023_W01,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-07T14:15:00+00:00
LOT_N_023,LOT_N_023_W01,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-07T14:15:00+00:00
LOT_N_024,LOT_N_024_W01,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-07T17:15:00+00:00
LOT_N_024,LOT_N_024_W01,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-07T17:15:00+00:00
LOT_N_025,LOT_N_025_W01,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-07T20:15:00+00:00
LOT_N_025,LOT_N_025_W01,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-07T20:15:00+00:00
LOT_N_026,LOT_N_026_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-07T23:15:00+00:00
LOT_N_026,LOT_N_026_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-07T23:15:00+00:00
LOT_N_027,LOT_N_027_W01,6400,CMP_CU01,CMP_CU01_CH04,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-08T02:15:00+00:00
LOT_N_027,LOT_N_027_W01,6400,CMP_CU01,CMP_CU01_CH04,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-08T02:15:00+00:00
LOT_N_028,LOT_N_028_W01,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-08T05:15:00+00:00
LOT_N_028,LOT_N_028_W01,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-08T05:15:00+00:00
LOT_N_029,LOT_N_029_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-08T08:15:00+00:00
LOT_N_029,LOT_N_029_W01,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-08T08:15:00+00:00
LOT_N_030,LOT_N_030_W01,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,slurry_flow,150.0,149.0,-0.7,ml/min,0.0,false,NORMAL,2026-07-08T11:15:00+00:00
LOT_N_030,LOT_N_030_W01,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,endpoint_time,90.0,90.5,0.6,s,0.0,false,NORMAL,2026-07-08T11:15:00+00:00
LOT_A_001,LOT_A_001_W01,6400,CMP_CU03,CMP_CU03_CH02,CU_CMP_40N,R18,slurry_flow,150.0,132.0,-12.0,ml/min,-0.8,true,HIGH,2026-07-08T14:15:00+00:00
LOT_A_001,LOT_A_001_W01,6400,CMP_CU03,CMP_CU03_CH02,CU_CMP_40N,R18,endpoint_time,90.0,105.0,16.7,s,0.6,true,HIGH,2026-07-08T14:15:00+00:00
LOT_A_002,LOT_A_002_W01,6400,CMP_CU03,CMP_CU03_CH02,CU_CMP_40N,R18,slurry_flow,150.0,132.0,-12.0,ml/min,-0.8,true,HIGH,2026-07-08T17:15:00+00:00
LOT_A_002,LOT_A_002_W01,6400,CMP_CU03,CMP_CU03_CH02,CU_CMP_40N,R18,endpoint_time,90.0,105.0,16.7,s,0.6,true,HIGH,2026-07-08T17:15:00+00:00
LOT_A_003,LOT_A_003_W01,6400,CMP_CU03,CMP_CU03_CH02,CU_CMP_40N,R18,slurry_flow,150.0,132.0,-12.0,ml/min,-0.8,true,HIGH,2026-07-08T20:15:00+00:00
LOT_A_003,LOT_A_003_W01,6400,CMP_CU03,CMP_CU03_CH02,CU_CMP_40N,R18,endpoint_time,90.0,105.0,16.7,s,0.6,true,HIGH,2026-07-08T20:15:00+00:00
