lot_id,product_id,technology,route_id,wafer_qty,lot_type,priority,status,current_operation_no,created_at,started_at,finished_at
LOT_N_001,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-06-30T23:00:00+00:00,2026-07-01T11:00:00+00:00,2026-07-05T08:00:00+00:00
LOT_N_002,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-01T02:00:00+00:00,2026-07-01T14:00:00+00:00,2026-07-05T11:00:00+00:00
LOT_N_003,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-01T05:00:00+00:00,2026-07-01T17:00:00+00:00,2026-07-05T14:00:00+00:00
LOT_N_004,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-01T08:00:00+00:00,2026-07-01T20:00:00+00:00,2026-07-05T17:00:00+00:00
LOT_N_005,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-01T11:00:00+00:00,2026-07-01T23:00:00+00:00,2026-07-05T20:00:00+00:00
LOT_N_006,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-01T14:00:00+00:00,2026-07-02T02:00:00+00:00,2026-07-05T23:00:00+00:00
LOT_N_007,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-01T17:00:00+00:00,2026-07-02T05:00:00+00:00,2026-07-06T02:00:00+00:00
LOT_N_008,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-01T20:00:00+00:00,2026-07-02T08:00:00+00:00,2026-07-06T05:00:00+00:00
LOT_N_009,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-01T23:00:00+00:00,2026-07-02T11:00:00+00:00,2026-07-06T08:00:00+00:00
LOT_N_010,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-02T02:00:00+00:00,2026-07-02T14:00:00+00:00,2026-07-06T11:00:00+00:00
LOT_N_011,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-02T05:00:00+00:00,2026-07-02T17:00:00+00:00,2026-07-06T14:00:00+00:00
LOT_N_012,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-02T08:00:00+00:00,2026-07-02T20:00:00+00:00,2026-07-06T17:00:00+00:00
LOT_N_013,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-02T11:00:00+00:00,2026-07-02T23:00:00+00:00,2026-07-06T20:00:00+00:00
LOT_N_014,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-02T14:00:00+00:00,2026-07-03T02:00:00+00:00,2026-07-06T23:00:00+00:00
LOT_N_015,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-02T17:00:00+00:00,2026-07-03T05:00:00+00:00,2026-07-07T02:00:00+00:00
LOT_N_016,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-02T20:00:00+00:00,2026-07-03T08:00:00+00:00,2026-07-07T05:00:00+00:00
LOT_N_017,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-02T23:00:00+00:00,2026-07-03T11:00:00+00:00,2026-07-07T08:00:00+00:00
LOT_N_018,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-03T02:00:00+00:00,2026-07-03T14:00:00+00:00,2026-07-07T11:00:00+00:00
LOT_N_019,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-03T05:00:00+00:00,2026-07-03T17:00:00+00:00,2026-07-07T14:00:00+00:00
LOT_N_020,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-03T08:00:00+00:00,2026-07-03T20:00:00+00:00,2026-07-07T17:00:00+00:00
LOT_N_021,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-03T11:00:00+00:00,2026-07-03T23:00:00+00:00,2026-07-07T20:00:00+00:00
LOT_N_022,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-03T14:00:00+00:00,2026-07-04T02:00:00+00:00,2026-07-07T23:00:00+00:00
LOT_N_023,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-03T17:00:00+00:00,2026-07-04T05:00:00+00:00,2026-07-08T02:00:00+00:00
LOT_N_024,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-03T20:00:00+00:00,2026-07-04T08:00:00+00:00,2026-07-08T05:00:00+00:00
LOT_N_025,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-03T23:00:00+00:00,2026-07-04T11:00:00+00:00,2026-07-08T08:00:00+00:00
LOT_N_026,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-04T02:00:00+00:00,2026-07-04T14:00:00+00:00,2026-07-08T11:00:00+00:00
LOT_N_027,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-04T05:00:00+00:00,2026-07-04T17:00:00+00:00,2026-07-08T14:00:00+00:00
LOT_N_028,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-04T08:00:00+00:00,2026-07-04T20:00:00+00:00,2026-07-08T17:00:00+00:00
LOT_N_029,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-04T11:00:00+00:00,2026-07-04T23:00:00+00:00,2026-07-08T20:00:00+00:00
LOT_N_030,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,5,COMPLETE,9000,2026-07-04T14:00:00+00:00,2026-07-05T02:00:00+00:00,2026-07-08T23:00:00+00:00
LOT_A_001,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,8,COMPLETE,9000,2026-07-04T17:00:00+00:00,2026-07-05T05:00:00+00:00,2026-07-09T02:00:00+00:00
LOT_A_002,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,8,COMPLETE,9000,2026-07-04T20:00:00+00:00,2026-07-05T08:00:00+00:00,2026-07-09T05:00:00+00:00
LOT_A_003,40N_SOC,40nm,ROUTE_40N_SOC_A,5,PRODUCTION,8,COMPLETE,9000,2026-07-04T23:00:00+00:00,2026-07-05T11:00:00+00:00,2026-07-09T08:00:00+00:00
