wafer_id,lot_id,wafer_no,slot,status
LOT_N_001_W01,LOT_N_001,1,1,COMPLETE
LOT_N_001_W02,LOT_N_001,2,2,COMPLETE
LOT_N_001_W03,LOT_N_001,3,3,COMPLETE
LOT_N_001_W04,LOT_N_001,4,4,COMPLETE
LOT_N_001_W05,LOT_N_001,5,5,COMPLETE
LOT_N_002_W01,LOT_N_002,1,1,COMPLETE
LOT_N_002_W02,LOT_N_002,2,2,COMPLETE
LOT_N_002_W03,LOT_N_002,3,3,COMPLETE
LOT_N_002_W04,LOT_N_002,4,4,COMPLETE
LOT_N_002_W05,LOT_N_002,5,5,COMPLETE
LOT_N_003_W01,LOT_N_003,1,1,COMPLETE
LOT_N_003_W02,LOT_N_003,2,2,COMPLETE
LOT_N_003_W03,LOT_N_003,3,3,COMPLETE
LOT_N_003_W04,LOT_N_003,4,4,COMPLETE
LOT_N_003_W05,LOT_N_003,5,5,COMPLETE
LOT_N_004_W01,LOT_N_004,1,1,COMPLETE
LOT_N_004_W02,LOT_N_004,2,2,COMPLETE
LOT_N_004_W03,LOT_N_004,3,3,COMPLETE
LOT_N_004_W04,LOT_N_004,4,4,COMPLETE
LOT_N_004_W05,LOT_N_004,5,5,COMPLETE
LOT_N_005_W01,LOT_N_005,1,1,COMPLETE
LOT_N_005_W02,LOT_N_005,2,2,COMPLETE
LOT_N_005_W03,LOT_N_005,3,3,COMPLETE
LOT_N_005_W04,LOT_N_005,4,4,COMPLETE
LOT_N_005_W05,LOT_N_005,5,5,COMPLETE
LOT_N_006_W01,LOT_N_006,1,1,COMPLETE
LOT_N_006_W02,LOT_N_006,2,2,COMPLETE
LOT_N_006_W03,LOT_N_006,3,3,COMPLETE
LOT_N_006_W04,LOT_N_006,4,4,COMPLETE
LOT_N_006_W05,LOT_N_006,5,5,COMPLETE
LOT_N_007_W01,LOT_N_007,1,1,COMPLETE
LOT_N_007_W02,LOT_N_007,2,2,COMPLETE
LOT_N_007_W03,LOT_N_007,3,3,COMPLETE
LOT_N_007_W04,LOT_N_007,4,4,COMPLETE
LOT_N_007_W05,LOT_N_007,5,5,COMPLETE
LOT_N_008_W01,LOT_N_008,1,1,COMPLETE
LOT_N_008_W02,LOT_N_008,2,2,COMPLETE
LOT_N_008_W03,LOT_N_008,3,3,COMPLETE
