chamber_id,equipment_id,chamber_name,chamber_type,status,installed_at
WET_FEOL_01_CH01,WET_FEOL_01,FEOL Wet Bench 01,CHAMBER,QUALIFIED,2024-05-01
WET_MOL_01_CH01,WET_MOL_01,MOL Wet Bench 01,CHAMBER,QUALIFIED,2024-05-01
WET_BEOL_01_CH01,WET_BEOL_01,BEOL Wet Bench 01,CHAMBER,QUALIFIED,2024-05-01
FURNACE_DIFF_01_CH01,FURNACE_DIFF_01,Diffusion Tube 01,CHAMBER,QUALIFIED,2024-05-01
LITHO_STI_01_CH01,LITHO_STI_01,Exposure Unit 01,CHAMBER,QUALIFIED,2024-05-01
LITHO_CONTACT_01_CH01,LITHO_CONTACT_01,Contact Exposure Unit 01,CHAMBER,QUALIFIED,2024-05-01
LITHO_CU_01_CH01,LITHO_CU_01,Cu Exposure Unit 01,CHAMBER,QUALIFIED,2024-05-01
CVD_STI_01_CH01,CVD_STI_01,STI CVD Chamber 01,CHAMBER,QUALIFIED,2024-05-01
ETCH_STI_01_CH01,ETCH_STI_01,STI Etch Chamber 01,CHAMBER,QUALIFIED,2024-05-01
CMP_STI_01_CH01,CMP_STI_01,STI CMP Head 01,CHAMBER,QUALIFIED,2024-05-01
CMP_STI_01_CH02,CMP_STI_01,STI CMP Head 02,CHAMBER,QUALIFIED,2024-05-01
CMP_STI_01_CH03,CMP_STI_01,STI CMP Head 03,CHAMBER,QUALIFIED,2024-05-01
CMP_STI_01_CH04,CMP_STI_01,STI CMP Head 04,CHAMBER,QUALIFIED,2024-05-01
ETCH_CONTACT_01_CH01,ETCH_CONTACT_01,Contact Etch Chamber 01,CHAMBER,QUALIFIED,2024-05-01
CVD_ILD_01_CH01,CVD_ILD_01,ILD CVD Chamber 01,CHAMBER,QUALIFIED,2024-05-01
CVD_ILD_01_CH02,CVD_ILD_01,ILD CVD Chamber 02,CHAMBER,QUALIFIED,2024-05-01
CMP_ILD_01_CH01,CMP_ILD_01,ILD CMP Head 01,CHAMBER,QUALIFIED,2024-05-01
CMP_ILD_01_CH02,CMP_ILD_01,ILD CMP Head 02,CHAMBER,QUALIFIED,2024-05-01
CMP_ILD_01_CH03,CMP_ILD_01,ILD CMP Head 03,CHAMBER,QUALIFIED,2024-05-01
CMP_ILD_01_CH04,CMP_ILD_01,ILD CMP Head 04,CHAMBER,QUALIFIED,2024-05-01
PVD_WLINER_01_CH01,PVD_WLINER_01,W Barrier Liner PVD 01,CHAMBER,QUALIFIED,2024-05-01
CVD_W_01_CH01,CVD_W_01,W CVD Chamber 01,CHAMBER,QUALIFIED,2024-05-01
CMP_W_01_CH01,CMP_W_01,W CMP Platen 01,CHAMBER,QUALIFIED,2024-05-01
CVD_LOWK_01_CH01,CVD_LOWK_01,Low-k CVD Chamber 01,CHAMBER,QUALIFIED,2024-05-01
CMP_IMD_01_CH01,CMP_IMD_01,IMD CMP Head 01,CHAMBER,QUALIFIED,2024-05-01
CMP_IMD_01_CH02,CMP_IMD_01,IMD CMP Head 02,CHAMBER,QUALIFIED,2024-05-01
CMP_IMD_01_CH03,CMP_IMD_01,IMD CMP Head 03,CHAMBER,QUALIFIED,2024-05-01
CMP_IMD_01_CH04,CMP_IMD_01,IMD CMP Head 04,CHAMBER,QUALIFIED,2024-05-01
ETCH_CU_01_CH01,ETCH_CU_01,Cu Etch Chamber 01,CHAMBER,QUALIFIED,2024-05-01
PVD_CUSEED_01_CH01,PVD_CUSEED_01,Cu Barrier Seed PVD 01,CHAMBER,QUALIFIED,2024-05-01
ECP_CU_01_CH01,ECP_CU_01,Cu ECP Cell 01,CHAMBER,QUALIFIED,2024-05-01
CMP_CU01_CH01,CMP_CU01,Cu CMP Head 01,CHAMBER,QUALIFIED,2024-05-01
CMP_CU01_CH02,CMP_CU01,Cu CMP Head 02,CHAMBER,QUALIFIED,2024-05-01
CMP_CU01_CH03,CMP_CU01,Cu CMP Head 03,CHAMBER,QUALIFIED,2024-05-01
CMP_CU01_CH04,CMP_CU01,Cu CMP Head 04,CHAMBER,QUALIFIED,2024-05-01
CMP_CU02_CH01,CMP_CU02,Cu CMP Head 01,CHAMBER,QUALIFIED,2024-05-01
CMP_CU02_CH02,CMP_CU02,Cu CMP Head 02,CHAMBER,QUALIFIED,2024-05-01
CMP_CU02_CH03,CMP_CU02,Cu CMP Head 03,CHAMBER,QUALIFIED,2024-05-01
CMP_CU02_CH04,CMP_CU02,Cu CMP Head 04,CHAMBER,QUALIFIED,2024-05-01
CMP_CU03_CH01,CMP_CU03,Cu CMP Head 01,CHAMBER,QUALIFIED,2024-05-01
CMP_CU03_CH02,CMP_CU03,Cu CMP Head 02,CHAMBER,QUALIFIED,2024-05-01
CMP_CU03_CH03,CMP_CU03,Cu CMP Head 03,CHAMBER,QUALIFIED,2024-05-01
CMP_CU03_CH04,CMP_CU03,Cu CMP Head 04,CHAMBER,QUALIFIED,2024-05-01
KLA_INSPECT_01_CH01,KLA_INSPECT_01,Inspection Module 01,CHAMBER,QUALIFIED,2024-05-01
WAT_TEST_01_CH01,WAT_TEST_01,Probe Station 01,CHAMBER,QUALIFIED,2024-05-01
