equipment_id,chamber_id,operation_no,module,material,recipe_family,qualification_status
WET_FEOL_01,WET_FEOL_01_CH01,1000,Wet Clean,,WET_CLEAN,QUALIFIED
FURNACE_DIFF_01,FURNACE_DIFF_01_CH01,1100,Diffusion,Oxide,DIFFUSION_OX,QUALIFIED
CVD_STI_01,CVD_STI_01_CH01,1200,Thin Film,Nitride,THINFILM_NITRIDE,QUALIFIED
LITHO_STI_01,LITHO_STI_01_CH01,1300,STI Litho,,STI_LITHO,QUALIFIED
ETCH_STI_01,ETCH_STI_01_CH01,1400,STI Etch,Oxide,STI_ETCH,QUALIFIED
CVD_STI_01,CVD_STI_01_CH01,1450,Thin Film,Oxide,STI_OX_FILL,QUALIFIED
CMP_STI_01,CMP_STI_01_CH01,1500,STI CMP,Oxide,STI_CMP,QUALIFIED
CMP_STI_01,CMP_STI_01_CH02,1500,STI CMP,Oxide,STI_CMP,QUALIFIED
CMP_STI_01,CMP_STI_01_CH03,1500,STI CMP,Oxide,STI_CMP,QUALIFIED
CMP_STI_01,CMP_STI_01_CH04,1500,STI CMP,Oxide,STI_CMP,QUALIFIED
WET_FEOL_01,WET_FEOL_01_CH01,1510,Wet Clean,,POST_CMP_CLEAN,QUALIFIED
CVD_ILD_01,CVD_ILD_01_CH01,5000,Thin Film,Oxide,ILD_DEP,QUALIFIED
CVD_ILD_01,CVD_ILD_01_CH02,5000,Thin Film,Oxide,ILD_DEP,QUALIFIED
CMP_ILD_01,CMP_ILD_01_CH01,5100,ILD CMP,Oxide,ILD_CMP,QUALIFIED
CMP_ILD_01,CMP_ILD_01_CH02,5100,ILD CMP,Oxide,ILD_CMP,QUALIFIED
CMP_ILD_01,CMP_ILD_01_CH03,5100,ILD CMP,Oxide,ILD_CMP,QUALIFIED
CMP_ILD_01,CMP_ILD_01_CH04,5100,ILD CMP,Oxide,ILD_CMP,QUALIFIED
WET_MOL_01,WET_MOL_01_CH01,5110,Wet Clean,,POST_CMP_CLEAN,QUALIFIED
LITHO_CONTACT_01,LITHO_CONTACT_01_CH01,5200,Contact Litho,,CONTACT_LITHO,QUALIFIED
ETCH_CONTACT_01,ETCH_CONTACT_01_CH01,5210,Contact Etch,Oxide,CONTACT_ETCH,QUALIFIED
WET_MOL_01,WET_MOL_01_CH01,5220,Wet Clean,,PRE_METAL_CLEAN,QUALIFIED
PVD_WLINER_01,PVD_WLINER_01_CH01,5230,Barrier Liner,Ti/TiN,W_BARRIER,QUALIFIED
CVD_W_01,CVD_W_01_CH01,5240,Thin Film,Tungsten,W_CVD_FILL,QUALIFIED
CMP_W_01,CMP_W_01_CH01,5300,W CMP,Tungsten,W_CMP,QUALIFIED
WET_MOL_01,WET_MOL_01_CH01,5310,Wet Clean,,POST_CMP_CLEAN,QUALIFIED
CVD_LOWK_01,CVD_LOWK_01_CH01,6000,Thin Film,Low-k,LOWK_IMD_DEP,QUALIFIED
CMP_IMD_01,CMP_IMD_01_CH01,6100,IMD CMP,Low-k,IMD_CMP,QUALIFIED
CMP_IMD_01,CMP_IMD_01_CH02,6100,IMD CMP,Low-k,IMD_CMP,QUALIFIED
CMP_IMD_01,CMP_IMD_01_CH03,6100,IMD CMP,Low-k,IMD_CMP,QUALIFIED
CMP_IMD_01,CMP_IMD_01_CH04,6100,IMD CMP,Low-k,IMD_CMP,QUALIFIED
WET_BEOL_01,WET_BEOL_01_CH01,6110,Wet Clean,,POST_CMP_CLEAN,QUALIFIED
LITHO_CU_01,LITHO_CU_01_CH01,6200,Cu Litho,,CU_LITHO,QUALIFIED
ETCH_CU_01,ETCH_CU_01_CH01,6210,Cu Etch,Low-k,CU_ETCH,QUALIFIED
WET_BEOL_01,WET_BEOL_01_CH01,6220,Wet Clean,,PRE_METAL_CLEAN,QUALIFIED
PVD_CUSEED_01,PVD_CUSEED_01_CH01,6230,Barrier Seed,Ta/Cu,CU_BARRIER_SEED,QUALIFIED
ECP_CU_01,ECP_CU_01_CH01,6240,Cu Plating,Copper,CU_ECP,QUALIFIED
CMP_CU01,CMP_CU01_CH01,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU01,CMP_CU01_CH02,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU01,CMP_CU01_CH03,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU01,CMP_CU01_CH04,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU02,CMP_CU02_CH01,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU02,CMP_CU02_CH02,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU02,CMP_CU02_CH03,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU02,CMP_CU02_CH04,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU03,CMP_CU03_CH01,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU03,CMP_CU03_CH02,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU03,CMP_CU03_CH03,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
CMP_CU03,CMP_CU03_CH04,6400,Cu CMP,Copper,CU_CMP,QUALIFIED
WET_BEOL_01,WET_BEOL_01_CH01,6410,Wet Clean,,POST_CMP_CLEAN,QUALIFIED
KLA_INSPECT_01,KLA_INSPECT_01_CH01,6500,Defect Inspection,,KLA_INSPECT,QUALIFIED
WAT_TEST_01,WAT_TEST_01_CH01,9000,WAT,,WAT,QUALIFIED
