equipment_id,equipment_type,module,process_area,material,vendor,model,location,status,installed_at
WET_FEOL_01,WET,Wet Clean,FEOL,,SCREEN,SU-3200,FAB01-WET,QUALIFIED,2024-01-02
WET_MOL_01,WET,Wet Clean,MOL,,SCREEN,SU-3200,FAB01-WET-MOL,QUALIFIED,2024-01-03
WET_BEOL_01,WET,Wet Clean,BEOL,,SCREEN,SU-3200,FAB01-WET-BEOL,QUALIFIED,2024-01-04
FURNACE_DIFF_01,DIFFUSION,Diffusion,FEOL,Oxide,Tokyo Electron,Alpha-8SE,FAB01-DIFF,QUALIFIED,2024-01-08
LITHO_STI_01,LITHO,STI Litho,FEOL,,ASML,XT,FAB01-LITHO,QUALIFIED,2024-01-15
LITHO_CONTACT_01,LITHO,Contact Litho,MOL,,ASML,XT,FAB01-LITHO-MOL,QUALIFIED,2024-01-16
LITHO_CU_01,LITHO,Cu Litho,BEOL,,ASML,XT,FAB01-LITHO-BEOL,QUALIFIED,2024-01-17
CVD_STI_01,CVD,Thin Film,FEOL,Nitride,Applied Materials,Producer,FAB01-THINFILM,QUALIFIED,2024-01-22
ETCH_STI_01,ETCH,STI Etch,FEOL,Oxide,Lam,2300,FAB01-ETCH-FEOL,QUALIFIED,2024-01-24
CMP_STI_01,CMP,STI CMP,FEOL,Oxide,Applied Materials,Mirra,FAB01-CMP-STI,QUALIFIED,2024-02-01
ETCH_CONTACT_01,ETCH,Contact Etch,MOL,Oxide,Lam,2300,FAB01-ETCH,QUALIFIED,2024-03-03
CVD_ILD_01,CVD,Thin Film,MOL,Oxide,Applied Materials,Producer,FAB01-THINFILM-MOL,QUALIFIED,2024-03-10
CMP_ILD_01,CMP,ILD CMP,MOL,Oxide,Applied Materials,Mirra,FAB01-CMP-ILD,QUALIFIED,2024-03-20
PVD_WLINER_01,PVD,Barrier Liner,MOL,Ti/TiN,Applied Materials,Endura,FAB01-PVD-MOL,QUALIFIED,2024-03-25
CVD_W_01,CVD,Thin Film,MOL,Tungsten,Applied Materials,Producer,FAB01-CVD-W,QUALIFIED,2024-03-28
CMP_W_01,CMP,W CMP,MOL,Tungsten,Ebara,F-REX,FAB01-CMP-W,QUALIFIED,2024-04-04
CVD_LOWK_01,CVD,Thin Film,BEOL,Low-k,Applied Materials,Producer,FAB01-LOWK,QUALIFIED,2024-04-10
CMP_IMD_01,CMP,IMD CMP,BEOL,Low-k,Applied Materials,Mirra,FAB01-CMP-IMD,QUALIFIED,2024-04-15
ETCH_CU_01,ETCH,Cu Etch,BEOL,Low-k,Lam,2300,FAB01-ETCH-BEOL,QUALIFIED,2024-04-20
PVD_CUSEED_01,PVD,Barrier Seed,BEOL,Ta/Cu,Applied Materials,Endura,FAB01-PVD-BEOL,QUALIFIED,2024-04-25
ECP_CU_01,ECP,Cu Plating,BEOL,Copper,Lam,SABRE,FAB01-ECP-CU,QUALIFIED,2024-04-30
CMP_CU01,CMP,Cu CMP,BEOL,Copper,Applied Materials,Reflexion,FAB01-CMP-CU,QUALIFIED,2024-05-05
CMP_CU02,CMP,Cu CMP,BEOL,Copper,Applied Materials,Reflexion,FAB01-CMP-CU,QUALIFIED,2024-05-12
CMP_CU03,CMP,Cu CMP,BEOL,Copper,Applied Materials,Reflexion,FAB01-CMP-CU,QUALIFIED,2024-05-19
KLA_INSPECT_01,KLA,Defect Inspection,BEOL,,KLA,DefectScan,FAB01-METRO,QUALIFIED,2024-06-01
WAT_TEST_01,TEST,WAT,TEST,,Keysight,Parametric,FAB01-WAT,QUALIFIED,2024-06-15
