lot_id,wafer_id,operation_no,equipment_id,chamber_id,recipe_id,recipe_version,parameter_name,baseline_value,observed_value,delta_percent,unit,trend_slope,ooc_flag,severity,measured_at
LOT_A_001,LOT_A_001_W01,6400,CMP_CU02,CMP_CU02_CH02,CU_CMP_40N,R18,slurry_flow,150.000,149.406,-0.396,ml/min,0.000,false,NORMAL,2026-07-02T16:50:00+00:00
LOT_A_001,LOT_A_001_W01,6400,CMP_CU02,CMP_CU02_CH02,CU_CMP_40N,R18,endpoint_time,90.000,90.119,0.132,s,0.000,false,NORMAL,2026-07-02T16:50:00+00:00
LOT_A_001,LOT_A_001_W01,6400,CMP_CU02,CMP_CU02_CH02,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.109,-0.178,nm/min,0.000,false,NORMAL,2026-07-02T16:50:00+00:00
LOT_A_001,LOT_A_001_W02,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,slurry_flow,150.000,149.664,-0.224,ml/min,0.000,false,NORMAL,2026-07-02T16:51:00+00:00
LOT_A_001,LOT_A_001_W02,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,endpoint_time,90.000,90.067,0.075,s,0.000,false,NORMAL,2026-07-02T16:51:00+00:00
LOT_A_001,LOT_A_001_W02,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.496,-0.101,nm/min,0.000,false,NORMAL,2026-07-02T16:51:00+00:00
LOT_A_001,LOT_A_001_W03,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,slurry_flow,150.000,150.719,0.479,ml/min,0.000,false,NORMAL,2026-07-02T16:52:00+00:00
LOT_A_001,LOT_A_001_W03,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,endpoint_time,90.000,89.856,-0.160,s,0.000,false,NORMAL,2026-07-02T16:52:00+00:00
LOT_A_001,LOT_A_001_W03,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,501.078,0.216,nm/min,0.000,false,NORMAL,2026-07-02T16:52:00+00:00
LOT_A_001,LOT_A_001_W04,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,slurry_flow,150.000,149.982,-0.012,ml/min,0.000,false,NORMAL,2026-07-02T16:53:00+00:00
LOT_A_001,LOT_A_001_W04,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,endpoint_time,90.000,90.004,0.004,s,0.000,false,NORMAL,2026-07-02T16:53:00+00:00
LOT_A_001,LOT_A_001_W04,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.973,-0.005,nm/min,0.000,false,NORMAL,2026-07-02T16:53:00+00:00
LOT_A_001,LOT_A_001_W05,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,slurry_flow,150.000,150.693,0.462,ml/min,0.000,false,NORMAL,2026-07-02T16:54:00+00:00
LOT_A_001,LOT_A_001_W05,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,endpoint_time,90.000,89.861,-0.154,s,0.000,false,NORMAL,2026-07-02T16:54:00+00:00
LOT_A_001,LOT_A_001_W05,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,501.039,0.208,nm/min,0.000,false,NORMAL,2026-07-02T16:54:00+00:00
LOT_A_001,LOT_A_001_W06,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,slurry_flow,150.000,150.608,0.405,ml/min,0.000,false,NORMAL,2026-07-02T16:55:00+00:00
LOT_A_001,LOT_A_001_W06,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,endpoint_time,90.000,89.878,-0.135,s,0.000,false,NORMAL,2026-07-02T16:55:00+00:00
LOT_A_001,LOT_A_001_W06,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.911,0.182,nm/min,0.000,false,NORMAL,2026-07-02T16:55:00+00:00
LOT_A_001,LOT_A_001_W07,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,slurry_flow,150.000,149.685,-0.210,ml/min,0.000,false,NORMAL,2026-07-02T16:56:00+00:00
LOT_A_001,LOT_A_001_W07,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,endpoint_time,90.000,90.063,0.070,s,0.000,false,NORMAL,2026-07-02T16:56:00+00:00
LOT_A_001,LOT_A_001_W07,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.527,-0.095,nm/min,0.000,false,NORMAL,2026-07-02T16:56:00+00:00
LOT_A_001,LOT_A_001_W08,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,slurry_flow,150.000,150.089,0.059,ml/min,0.000,false,NORMAL,2026-07-02T16:57:00+00:00
LOT_A_001,LOT_A_001_W08,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,endpoint_time,90.000,89.982,-0.020,s,0.000,false,NORMAL,2026-07-02T16:57:00+00:00
LOT_A_001,LOT_A_001_W08,6400,CMP_CU01,CMP_CU01_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.133,0.027,nm/min,0.000,false,NORMAL,2026-07-02T16:57:00+00:00
LOT_A_001,LOT_A_001_W09,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,slurry_flow,150.000,149.530,-0.313,ml/min,0.000,false,NORMAL,2026-07-02T16:58:00+00:00
LOT_A_001,LOT_A_001_W09,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,endpoint_time,90.000,90.094,0.104,s,0.000,false,NORMAL,2026-07-02T16:58:00+00:00
LOT_A_001,LOT_A_001_W09,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.296,-0.141,nm/min,0.000,false,NORMAL,2026-07-02T16:58:00+00:00
LOT_A_001,LOT_A_001_W10,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,slurry_flow,150.000,149.884,-0.077,ml/min,0.000,false,NORMAL,2026-07-02T16:59:00+00:00
LOT_A_001,LOT_A_001_W10,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,endpoint_time,90.000,90.023,0.026,s,0.000,false,NORMAL,2026-07-02T16:59:00+00:00
LOT_A_001,LOT_A_001_W10,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.826,-0.035,nm/min,0.000,false,NORMAL,2026-07-02T16:59:00+00:00
LOT_A_001,LOT_A_001_W11,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,slurry_flow,150.000,149.728,-0.181,ml/min,0.000,false,NORMAL,2026-07-02T17:00:00+00:00
LOT_A_001,LOT_A_001_W11,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,endpoint_time,90.000,90.054,0.060,s,0.000,false,NORMAL,2026-07-02T17:00:00+00:00
LOT_A_001,LOT_A_001_W11,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.592,-0.082,nm/min,0.000,false,NORMAL,2026-07-02T17:00:00+00:00
LOT_A_001,LOT_A_001_W12,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,slurry_flow,150.000,149.446,-0.369,ml/min,0.000,false,NORMAL,2026-07-02T17:01:00+00:00
LOT_A_001,LOT_A_001_W12,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,endpoint_time,90.000,90.111,0.123,s,0.000,false,NORMAL,2026-07-02T17:01:00+00:00
LOT_A_001,LOT_A_001_W12,6400,CMP_CU03,CMP_CU03_CH04,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.170,-0.166,nm/min,0.000,false,NORMAL,2026-07-02T17:01:00+00:00
LOT_A_001,LOT_A_001_W13,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,slurry_flow,150.000,150.644,0.429,ml/min,0.000,false,NORMAL,2026-07-02T17:02:00+00:00
LOT_A_001,LOT_A_001_W13,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,endpoint_time,90.000,89.871,-0.143,s,0.000,false,NORMAL,2026-07-02T17:02:00+00:00
LOT_A_001,LOT_A_001_W13,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.966,0.193,nm/min,0.000,false,NORMAL,2026-07-02T17:02:00+00:00
LOT_A_001,LOT_A_001_W14,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,slurry_flow,150.000,150.324,0.216,ml/min,0.000,false,NORMAL,2026-07-02T17:03:00+00:00
LOT_A_001,LOT_A_001_W14,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,endpoint_time,90.000,89.935,-0.072,s,0.000,false,NORMAL,2026-07-02T17:03:00+00:00
LOT_A_001,LOT_A_001_W14,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.485,0.097,nm/min,0.000,false,NORMAL,2026-07-02T17:03:00+00:00
LOT_A_001,LOT_A_001_W15,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,slurry_flow,150.000,150.529,0.353,ml/min,0.000,false,NORMAL,2026-07-02T17:04:00+00:00
LOT_A_001,LOT_A_001_W15,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,endpoint_time,90.000,89.894,-0.118,s,0.000,false,NORMAL,2026-07-02T17:04:00+00:00
LOT_A_001,LOT_A_001_W15,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.794,0.159,nm/min,0.000,false,NORMAL,2026-07-02T17:04:00+00:00
LOT_A_001,LOT_A_001_W16,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,slurry_flow,150.000,150.155,0.103,ml/min,0.000,false,NORMAL,2026-07-02T17:05:00+00:00
LOT_A_001,LOT_A_001_W16,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,endpoint_time,90.000,89.969,-0.034,s,0.000,false,NORMAL,2026-07-02T17:05:00+00:00
LOT_A_001,LOT_A_001_W16,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.232,0.046,nm/min,0.000,false,NORMAL,2026-07-02T17:05:00+00:00
LOT_A_001,LOT_A_001_W17,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,slurry_flow,150.000,149.621,-0.253,ml/min,0.000,false,NORMAL,2026-07-02T17:06:00+00:00
LOT_A_001,LOT_A_001_W17,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,endpoint_time,90.000,90.076,0.084,s,0.000,false,NORMAL,2026-07-02T17:06:00+00:00
LOT_A_001,LOT_A_001_W17,6400,CMP_CU02,CMP_CU02_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.432,-0.114,nm/min,0.000,false,NORMAL,2026-07-02T17:06:00+00:00
LOT_A_001,LOT_A_001_W18,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,slurry_flow,150.000,149.614,-0.257,ml/min,0.000,false,NORMAL,2026-07-02T17:07:00+00:00
LOT_A_001,LOT_A_001_W18,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,endpoint_time,90.000,90.077,0.086,s,0.000,false,NORMAL,2026-07-02T17:07:00+00:00
LOT_A_001,LOT_A_001_W18,6400,CMP_CU01,CMP_CU01_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.421,-0.116,nm/min,0.000,false,NORMAL,2026-07-02T17:07:00+00:00
LOT_A_001,LOT_A_001_W19,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,slurry_flow,150.000,150.433,0.288,ml/min,0.000,false,NORMAL,2026-07-02T17:08:00+00:00
LOT_A_001,LOT_A_001_W19,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,endpoint_time,90.000,89.913,-0.096,s,0.000,false,NORMAL,2026-07-02T17:08:00+00:00
LOT_A_001,LOT_A_001_W19,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.649,0.130,nm/min,0.000,false,NORMAL,2026-07-02T17:08:00+00:00
LOT_A_001,LOT_A_001_W20,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,slurry_flow,150.000,150.231,0.154,ml/min,0.000,false,NORMAL,2026-07-02T17:09:00+00:00
LOT_A_001,LOT_A_001_W20,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,endpoint_time,90.000,89.954,-0.051,s,0.000,false,NORMAL,2026-07-02T17:09:00+00:00
LOT_A_001,LOT_A_001_W20,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.346,0.069,nm/min,0.000,false,NORMAL,2026-07-02T17:09:00+00:00
LOT_A_001,LOT_A_001_W21,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,slurry_flow,150.000,150.530,0.353,ml/min,0.000,false,NORMAL,2026-07-02T17:10:00+00:00
LOT_A_001,LOT_A_001_W21,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,endpoint_time,90.000,89.894,-0.118,s,0.000,false,NORMAL,2026-07-02T17:10:00+00:00
LOT_A_001,LOT_A_001_W21,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.794,0.159,nm/min,0.000,false,NORMAL,2026-07-02T17:10:00+00:00
LOT_A_001,LOT_A_001_W22,6400,CMP_CU01,CMP_CU01_CH04,CU_CMP_40N,R18,slurry_flow,150.000,150.163,0.109,ml/min,0.000,false,NORMAL,2026-07-02T17:11:00+00:00
LOT_A_001,LOT_A_001_W22,6400,CMP_CU01,CMP_CU01_CH04,CU_CMP_40N,R18,endpoint_time,90.000,89.967,-0.036,s,0.000,false,NORMAL,2026-07-02T17:11:00+00:00
LOT_A_001,LOT_A_001_W22,6400,CMP_CU01,CMP_CU01_CH04,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.244,0.049,nm/min,0.000,false,NORMAL,2026-07-02T17:11:00+00:00
LOT_A_001,LOT_A_001_W23,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,slurry_flow,150.000,150.041,0.027,ml/min,0.000,false,NORMAL,2026-07-02T17:12:00+00:00
LOT_A_001,LOT_A_001_W23,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,endpoint_time,90.000,89.992,-0.009,s,0.000,false,NORMAL,2026-07-02T17:12:00+00:00
LOT_A_001,LOT_A_001_W23,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.062,0.012,nm/min,0.000,false,NORMAL,2026-07-02T17:12:00+00:00
LOT_A_001,LOT_A_001_W24,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,slurry_flow,150.000,149.548,-0.302,ml/min,0.000,false,NORMAL,2026-07-02T17:13:00+00:00
LOT_A_001,LOT_A_001_W24,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,endpoint_time,90.000,90.090,0.101,s,0.000,false,NORMAL,2026-07-02T17:13:00+00:00
LOT_A_001,LOT_A_001_W24,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.322,-0.136,nm/min,0.000,false,NORMAL,2026-07-02T17:13:00+00:00
LOT_A_001,LOT_A_001_W25,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,slurry_flow,150.000,149.291,-0.472,ml/min,0.000,false,NORMAL,2026-07-02T17:14:00+00:00
LOT_A_001,LOT_A_001_W25,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,endpoint_time,90.000,90.142,0.157,s,0.000,false,NORMAL,2026-07-02T17:14:00+00:00
LOT_A_001,LOT_A_001_W25,6400,CMP_CU01,CMP_CU01_CH02,CU_CMP_40N,R18,estimated_removal_rate,500.000,498.937,-0.213,nm/min,0.000,false,NORMAL,2026-07-02T17:14:00+00:00
LOT_A_002,LOT_A_002_W01,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,slurry_flow,150.000,150.023,0.016,ml/min,0.000,false,NORMAL,2026-07-02T22:50:00+00:00
LOT_A_002,LOT_A_002_W01,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,endpoint_time,90.000,89.995,-0.005,s,0.000,false,NORMAL,2026-07-02T22:50:00+00:00
LOT_A_002,LOT_A_002_W01,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.035,0.007,nm/min,0.000,false,NORMAL,2026-07-02T22:50:00+00:00
LOT_A_002,LOT_A_002_W02,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,slurry_flow,150.000,149.469,-0.354,ml/min,0.000,false,NORMAL,2026-07-02T22:51:00+00:00
LOT_A_002,LOT_A_002_W02,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,endpoint_time,90.000,90.106,0.118,s,0.000,false,NORMAL,2026-07-02T22:51:00+00:00
LOT_A_002,LOT_A_002_W02,6400,CMP_CU02,CMP_CU02_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.204,-0.159,nm/min,0.000,false,NORMAL,2026-07-02T22:51:00+00:00
LOT_A_002,LOT_A_002_W03,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,slurry_flow,150.000,149.432,-0.379,ml/min,0.000,false,NORMAL,2026-07-02T22:52:00+00:00
LOT_A_002,LOT_A_002_W03,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,endpoint_time,90.000,90.114,0.126,s,0.000,false,NORMAL,2026-07-02T22:52:00+00:00
LOT_A_002,LOT_A_002_W03,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.147,-0.171,nm/min,0.000,false,NORMAL,2026-07-02T22:52:00+00:00
LOT_A_002,LOT_A_002_W04,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,slurry_flow,150.000,149.993,-0.005,ml/min,0.000,false,NORMAL,2026-07-02T22:53:00+00:00
LOT_A_002,LOT_A_002_W04,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,endpoint_time,90.000,90.001,0.002,s,0.000,false,NORMAL,2026-07-02T22:53:00+00:00
LOT_A_002,LOT_A_002_W04,6400,CMP_CU03,CMP_CU03_CH01,CU_CMP_40N,R18,estimated_removal_rate,500.000,499.989,-0.002,nm/min,0.000,false,NORMAL,2026-07-02T22:53:00+00:00
LOT_A_002,LOT_A_002_W05,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,slurry_flow,150.000,150.103,0.069,ml/min,0.000,false,NORMAL,2026-07-02T22:54:00+00:00
LOT_A_002,LOT_A_002_W05,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,endpoint_time,90.000,89.979,-0.023,s,0.000,false,NORMAL,2026-07-02T22:54:00+00:00
LOT_A_002,LOT_A_002_W05,6400,CMP_CU03,CMP_CU03_CH03,CU_CMP_40N,R18,estimated_removal_rate,500.000,500.155,0.031,nm/min,0.000,false,NORMAL,2026-07-02T22:54:00+00:00
LOT_A_002,LOT_A_002_W06,6400,CMP_CU02,CMP_CU02_CH04,CU_CMP_40N,R18,slurry_flow,150.000,149.763,-0.158,ml/min,0.000,false,NORMAL,2026-07-02T22:55:00+00:00
