lot_id,wafer_id,operation_no,measurement_stage,metric_name,measured_value,unit,spec_low,spec_high,pass_fail,metrology_tool,measured_at
LOT_A_051,LOT_A_051_W01,5100,PRE_CMP,mean_thickness,998.644,nm,950.0,1050.0,true,METRO_THK_01,2026-07-14T02:55:00+00:00
LOT_A_051,LOT_A_051_W01,5100,POST_CMP,mean_thickness,799.141,nm,780.0,820.0,true,METRO_THK_01,2026-07-14T03:25:00+00:00
LOT_A_051,LOT_A_051_W02,5100,PRE_CMP,mean_thickness,1000.997,nm,950.0,1050.0,true,METRO_THK_01,2026-07-14T02:56:00+00:00
LOT_A_051,LOT_A_051_W02,5100,POST_CMP,mean_thickness,800.517,nm,780.0,820.0,true,METRO_THK_01,2026-07-14T03:26:00+00:00
LOT_A_051,LOT_A_051_W03,5100,PRE_CMP,mean_thickness,1001.782,nm,950.0,1050.0,true,METRO_THK_01,2026-07-14T02:57:00+00:00
LOT_A_051,LOT_A_051_W03,5100,POST_CMP,mean_thickness,798.602,nm,780.0,820.0,true,METRO_THK_01,2026-07-14T03:27:00+00:00
LOT_A_051,LOT_A_051_W04,5100,PRE_CMP,mean_thickness,1000.863,nm,950.0,1050.0,true,METRO_THK_01,2026-07-14T02:58:00+00:00
LOT_A_051,LOT_A_051_W04,5100,POST_CMP,mean_thickness,799.713,nm,780.0,820.0,true,METRO_THK_01,2026-07-14T03:28:00+00:00
LOT_A_051,LOT_A_051_W05,5100,PRE_CMP,mean_thickness,999.918,nm,950.0,1050.0,true,METRO_THK_01,2026-07-14T02:59:00+00:00
LOT_A_051,LOT_A_051_W05,5100,POST_CMP,mean_thickness,800.813,nm,780.0,820.0,true,METRO_THK_01,2026-07-14T03:29:00+00:00
LOT_A_051,LOT_A_051_W06,5100,PRE_CMP,mean_thickness,999.808,nm,950.0,1050.0,true,METRO_THK_01,2026-07-14T03:00:00+00:00
LOT_A_051,LOT_A_051_W06,5100,POST_CMP,mean_thickness,801.030,nm,780.0,820.0,true,METRO_THK_01,2026-07-14T03:30:00+00:00
LOT_A_051,LOT_A_051_W07,5100,PRE_CMP,mean_thickness,999.288,nm,950.0,1050.0,true,METRO_THK_01,2026-07-14T03:01:00+00:00
LOT_A_051,LOT_A_051_W07,5100,POST_CMP,mean_thickness,801.391,nm,780.0,820.0,true,METRO_THK_01,2026-07-14T03:31:00+00:00
LOT_A_051,LOT_A_051_W08,5100,PRE_CMP,mean_thickness,998.444,nm,950.0,1050.0,true,METRO_THK_01,2026-07-14T03:02:00+00:00
