lot_id,product_id,technology,route_id,wafer_qty,lot_type,priority,status,current_operation_no,created_at,started_at,finished_at
LOT_A_001,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-30T16:00:00+00:00,2026-07-01T00:00:00+00:00,2026-07-02T21:50:00+00:00
LOT_A_002,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-30T22:00:00+00:00,2026-07-01T06:00:00+00:00,2026-07-03T03:50:00+00:00
LOT_A_003,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-01T04:00:00+00:00,2026-07-01T12:00:00+00:00,2026-07-03T09:50:00+00:00
LOT_A_004,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-01T10:00:00+00:00,2026-07-01T18:00:00+00:00,2026-07-03T15:50:00+00:00
LOT_A_005,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-01T16:00:00+00:00,2026-07-02T00:00:00+00:00,2026-07-03T21:50:00+00:00
LOT_A_006,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-01T22:00:00+00:00,2026-07-02T06:00:00+00:00,2026-07-04T03:50:00+00:00
LOT_A_007,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-02T04:00:00+00:00,2026-07-02T12:00:00+00:00,2026-07-04T09:50:00+00:00
LOT_A_008,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-02T10:00:00+00:00,2026-07-02T18:00:00+00:00,2026-07-04T15:50:00+00:00
LOT_A_009,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-02T16:00:00+00:00,2026-07-03T00:00:00+00:00,2026-07-04T21:50:00+00:00
LOT_A_010,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-02T22:00:00+00:00,2026-07-03T06:00:00+00:00,2026-07-05T03:50:00+00:00
LOT_A_011,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-03T04:00:00+00:00,2026-07-03T12:00:00+00:00,2026-07-05T09:50:00+00:00
LOT_A_012,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,8,COMPLETE,9000,2026-07-03T10:00:00+00:00,2026-07-03T18:00:00+00:00,2026-07-05T15:50:00+00:00
LOT_A_013,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,8,COMPLETE,9000,2026-07-03T16:00:00+00:00,2026-07-04T00:00:00+00:00,2026-07-05T21:50:00+00:00
LOT_A_014,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,8,COMPLETE,9000,2026-07-03T22:00:00+00:00,2026-07-04T06:00:00+00:00,2026-07-06T03:50:00+00:00
LOT_A_015,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,8,COMPLETE,9000,2026-07-04T04:00:00+00:00,2026-07-04T12:00:00+00:00,2026-07-06T09:50:00+00:00
LOT_A_016,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-04T10:00:00+00:00,2026-07-04T18:00:00+00:00,2026-07-06T15:50:00+00:00
LOT_A_017,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-04T16:00:00+00:00,2026-07-05T00:00:00+00:00,2026-07-06T21:50:00+00:00
LOT_A_018,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-04T22:00:00+00:00,2026-07-05T06:00:00+00:00,2026-07-07T03:50:00+00:00
LOT_A_019,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-05T04:00:00+00:00,2026-07-05T12:00:00+00:00,2026-07-07T09:50:00+00:00
LOT_A_020,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-05T10:00:00+00:00,2026-07-05T18:00:00+00:00,2026-07-07T15:50:00+00:00
LOT_A_021,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-05T16:00:00+00:00,2026-07-06T00:00:00+00:00,2026-07-07T21:50:00+00:00
LOT_A_022,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-05T22:00:00+00:00,2026-07-06T06:00:00+00:00,2026-07-08T03:50:00+00:00
LOT_A_023,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-06T04:00:00+00:00,2026-07-06T12:00:00+00:00,2026-07-08T09:50:00+00:00
LOT_A_024,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-06T10:00:00+00:00,2026-07-06T18:00:00+00:00,2026-07-08T15:50:00+00:00
LOT_A_025,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-06T16:00:00+00:00,2026-07-07T00:00:00+00:00,2026-07-08T21:50:00+00:00
LOT_A_026,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-06T22:00:00+00:00,2026-07-07T06:00:00+00:00,2026-07-09T03:50:00+00:00
LOT_A_027,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-07T04:00:00+00:00,2026-07-07T12:00:00+00:00,2026-07-09T09:50:00+00:00
LOT_A_028,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-07T10:00:00+00:00,2026-07-07T18:00:00+00:00,2026-07-09T15:50:00+00:00
LOT_A_029,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-07T16:00:00+00:00,2026-07-08T00:00:00+00:00,2026-07-09T21:50:00+00:00
LOT_A_030,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-07T22:00:00+00:00,2026-07-08T06:00:00+00:00,2026-07-10T03:50:00+00:00
LOT_A_031,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-08T04:00:00+00:00,2026-07-08T12:00:00+00:00,2026-07-10T09:50:00+00:00
LOT_A_032,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-08T10:00:00+00:00,2026-07-08T18:00:00+00:00,2026-07-10T15:50:00+00:00
LOT_A_033,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-08T16:00:00+00:00,2026-07-09T00:00:00+00:00,2026-07-10T21:50:00+00:00
LOT_A_034,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-08T22:00:00+00:00,2026-07-09T06:00:00+00:00,2026-07-11T03:50:00+00:00
LOT_A_035,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-09T04:00:00+00:00,2026-07-09T12:00:00+00:00,2026-07-11T09:50:00+00:00
LOT_A_036,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-09T10:00:00+00:00,2026-07-09T18:00:00+00:00,2026-07-11T15:50:00+00:00
LOT_A_037,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-09T16:00:00+00:00,2026-07-10T00:00:00+00:00,2026-07-11T21:50:00+00:00
LOT_A_038,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-09T22:00:00+00:00,2026-07-10T06:00:00+00:00,2026-07-12T03:50:00+00:00
LOT_A_039,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-10T04:00:00+00:00,2026-07-10T12:00:00+00:00,2026-07-12T09:50:00+00:00
LOT_A_040,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-10T10:00:00+00:00,2026-07-10T18:00:00+00:00,2026-07-12T15:50:00+00:00
LOT_A_041,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-10T16:00:00+00:00,2026-07-11T00:00:00+00:00,2026-07-12T21:50:00+00:00
LOT_A_042,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-10T22:00:00+00:00,2026-07-11T06:00:00+00:00,2026-07-13T03:50:00+00:00
LOT_A_043,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-11T04:00:00+00:00,2026-07-11T12:00:00+00:00,2026-07-13T09:50:00+00:00
LOT_A_044,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-11T10:00:00+00:00,2026-07-11T18:00:00+00:00,2026-07-13T15:50:00+00:00
LOT_A_045,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-11T16:00:00+00:00,2026-07-12T00:00:00+00:00,2026-07-13T21:50:00+00:00
LOT_A_046,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-11T22:00:00+00:00,2026-07-12T06:00:00+00:00,2026-07-14T03:50:00+00:00
LOT_A_047,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-12T04:00:00+00:00,2026-07-12T12:00:00+00:00,2026-07-14T09:50:00+00:00
LOT_A_048,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-12T10:00:00+00:00,2026-07-12T18:00:00+00:00,2026-07-14T15:50:00+00:00
LOT_A_049,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-12T16:00:00+00:00,2026-07-13T00:00:00+00:00,2026-07-14T21:50:00+00:00
LOT_A_050,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-12T22:00:00+00:00,2026-07-13T06:00:00+00:00,2026-07-15T03:50:00+00:00
LOT_A_051,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-13T04:00:00+00:00,2026-07-13T12:00:00+00:00,2026-07-15T09:50:00+00:00
LOT_A_052,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-13T10:00:00+00:00,2026-07-13T18:00:00+00:00,2026-07-15T15:50:00+00:00
LOT_A_053,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-13T16:00:00+00:00,2026-07-14T00:00:00+00:00,2026-07-15T21:50:00+00:00
LOT_A_054,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-13T22:00:00+00:00,2026-07-14T06:00:00+00:00,2026-07-16T03:50:00+00:00
LOT_A_055,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-14T04:00:00+00:00,2026-07-14T12:00:00+00:00,2026-07-16T09:50:00+00:00
LOT_A_056,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-14T10:00:00+00:00,2026-07-14T18:00:00+00:00,2026-07-16T15:50:00+00:00
LOT_A_057,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-14T16:00:00+00:00,2026-07-15T00:00:00+00:00,2026-07-16T21:50:00+00:00
LOT_A_058,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-14T22:00:00+00:00,2026-07-15T06:00:00+00:00,2026-07-17T03:50:00+00:00
LOT_A_059,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-15T04:00:00+00:00,2026-07-15T12:00:00+00:00,2026-07-17T09:50:00+00:00
LOT_A_060,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-15T10:00:00+00:00,2026-07-15T18:00:00+00:00,2026-07-17T15:50:00+00:00
LOT_A_061,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-15T16:00:00+00:00,2026-07-16T00:00:00+00:00,2026-07-17T21:50:00+00:00
LOT_A_062,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-15T22:00:00+00:00,2026-07-16T06:00:00+00:00,2026-07-18T03:50:00+00:00
LOT_A_063,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-16T04:00:00+00:00,2026-07-16T12:00:00+00:00,2026-07-18T09:50:00+00:00
LOT_A_064,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-16T10:00:00+00:00,2026-07-16T18:00:00+00:00,2026-07-18T15:50:00+00:00
LOT_A_065,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-16T16:00:00+00:00,2026-07-17T00:00:00+00:00,2026-07-18T21:50:00+00:00
LOT_A_066,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-16T22:00:00+00:00,2026-07-17T06:00:00+00:00,2026-07-19T03:50:00+00:00
LOT_A_067,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-17T04:00:00+00:00,2026-07-17T12:00:00+00:00,2026-07-19T09:50:00+00:00
LOT_A_068,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-17T10:00:00+00:00,2026-07-17T18:00:00+00:00,2026-07-19T15:50:00+00:00
LOT_A_069,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-17T16:00:00+00:00,2026-07-18T00:00:00+00:00,2026-07-19T21:50:00+00:00
LOT_A_070,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-17T22:00:00+00:00,2026-07-18T06:00:00+00:00,2026-07-20T03:50:00+00:00
LOT_A_071,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-18T04:00:00+00:00,2026-07-18T12:00:00+00:00,2026-07-20T09:50:00+00:00
LOT_A_072,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-18T10:00:00+00:00,2026-07-18T18:00:00+00:00,2026-07-20T15:50:00+00:00
LOT_A_073,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-18T16:00:00+00:00,2026-07-19T00:00:00+00:00,2026-07-20T21:50:00+00:00
LOT_A_074,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-18T22:00:00+00:00,2026-07-19T06:00:00+00:00,2026-07-21T03:50:00+00:00
LOT_A_075,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-07-19T04:00:00+00:00,2026-07-19T12:00:00+00:00,2026-07-21T09:50:00+00:00
LOT_A_076,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-01T00:00:00+00:00,2026-06-01T08:00:00+00:00,2026-06-03T05:50:00+00:00
LOT_A_077,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-01T18:00:00+00:00,2026-06-02T02:00:00+00:00,2026-06-03T23:50:00+00:00
LOT_A_078,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-02T12:00:00+00:00,2026-06-02T20:00:00+00:00,2026-06-04T17:50:00+00:00
LOT_A_079,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-03T06:00:00+00:00,2026-06-03T14:00:00+00:00,2026-06-05T11:50:00+00:00
LOT_A_080,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-04T00:00:00+00:00,2026-06-04T08:00:00+00:00,2026-06-06T05:50:00+00:00
LOT_A_081,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-04T18:00:00+00:00,2026-06-05T02:00:00+00:00,2026-06-06T23:50:00+00:00
LOT_A_082,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-05T12:00:00+00:00,2026-06-05T20:00:00+00:00,2026-06-07T17:50:00+00:00
LOT_A_083,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-06T06:00:00+00:00,2026-06-06T14:00:00+00:00,2026-06-08T11:50:00+00:00
LOT_A_084,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-07T00:00:00+00:00,2026-06-07T08:00:00+00:00,2026-06-09T05:50:00+00:00
LOT_A_085,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-07T18:00:00+00:00,2026-06-08T02:00:00+00:00,2026-06-09T23:50:00+00:00
LOT_A_086,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-08T12:00:00+00:00,2026-06-08T20:00:00+00:00,2026-06-10T17:50:00+00:00
LOT_A_087,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-09T06:00:00+00:00,2026-06-09T14:00:00+00:00,2026-06-11T11:50:00+00:00
LOT_A_088,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-10T00:00:00+00:00,2026-06-10T08:00:00+00:00,2026-06-12T05:50:00+00:00
LOT_A_089,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-10T18:00:00+00:00,2026-06-11T02:00:00+00:00,2026-06-12T23:50:00+00:00
LOT_A_090,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-11T12:00:00+00:00,2026-06-11T20:00:00+00:00,2026-06-13T17:50:00+00:00
LOT_A_091,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-12T06:00:00+00:00,2026-06-12T14:00:00+00:00,2026-06-14T11:50:00+00:00
LOT_A_092,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-13T00:00:00+00:00,2026-06-13T08:00:00+00:00,2026-06-15T05:50:00+00:00
LOT_A_093,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-13T18:00:00+00:00,2026-06-14T02:00:00+00:00,2026-06-15T23:50:00+00:00
LOT_A_094,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-14T12:00:00+00:00,2026-06-14T20:00:00+00:00,2026-06-16T17:50:00+00:00
LOT_A_095,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-15T06:00:00+00:00,2026-06-15T14:00:00+00:00,2026-06-17T11:50:00+00:00
LOT_A_096,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-16T00:00:00+00:00,2026-06-16T08:00:00+00:00,2026-06-18T05:50:00+00:00
LOT_A_097,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-16T18:00:00+00:00,2026-06-17T02:00:00+00:00,2026-06-18T23:50:00+00:00
LOT_A_098,40N_SOC,40nm,ROUTE_40N_SOC_A,25,PRODUCTION,5,COMPLETE,9000,2026-06-17T12:00:00+00:00,2026-06-17T20:00:00+00:00,2026-06-19T17:50:00+00:00
