wafer_id,lot_id,wafer_no,slot,status
LOT_A_001_W01,LOT_A_001,1,1,COMPLETE
LOT_A_001_W02,LOT_A_001,2,2,COMPLETE
LOT_A_001_W03,LOT_A_001,3,3,COMPLETE
LOT_A_001_W04,LOT_A_001,4,4,COMPLETE
LOT_A_001_W05,LOT_A_001,5,5,COMPLETE
LOT_A_001_W06,LOT_A_001,6,6,COMPLETE
LOT_A_001_W07,LOT_A_001,7,7,COMPLETE
LOT_A_001_W08,LOT_A_001,8,8,COMPLETE
LOT_A_001_W09,LOT_A_001,9,9,COMPLETE
LOT_A_001_W10,LOT_A_001,10,10,COMPLETE
LOT_A_001_W11,LOT_A_001,11,11,COMPLETE
LOT_A_001_W12,LOT_A_001,12,12,COMPLETE
LOT_A_001_W13,LOT_A_001,13,13,COMPLETE
LOT_A_001_W14,LOT_A_001,14,14,COMPLETE
LOT_A_001_W15,LOT_A_001,15,15,COMPLETE
LOT_A_001_W16,LOT_A_001,16,16,COMPLETE
LOT_A_001_W17,LOT_A_001,17,17,COMPLETE
LOT_A_001_W18,LOT_A_001,18,18,COMPLETE
LOT_A_001_W19,LOT_A_001,19,19,COMPLETE
LOT_A_001_W20,LOT_A_001,20,20,COMPLETE
LOT_A_001_W21,LOT_A_001,21,21,COMPLETE
LOT_A_001_W22,LOT_A_001,22,22,COMPLETE
LOT_A_001_W23,LOT_A_001,23,23,COMPLETE
LOT_A_001_W24,LOT_A_001,24,24,COMPLETE
LOT_A_001_W25,LOT_A_001,25,25,COMPLETE
LOT_A_002_W01,LOT_A_002,1,1,COMPLETE
LOT_A_002_W02,LOT_A_002,2,2,COMPLETE
LOT_A_002_W03,LOT_A_002,3,3,COMPLETE
LOT_A_002_W04,LOT_A_002,4,4,COMPLETE
LOT_A_002_W05,LOT_A_002,5,5,COMPLETE
LOT_A_002_W06,LOT_A_002,6,6,COMPLETE
LOT_A_002_W07,LOT_A_002,7,7,COMPLETE
LOT_A_002_W08,LOT_A_002,8,8,COMPLETE
LOT_A_002_W09,LOT_A_002,9,9,COMPLETE
LOT_A_002_W10,LOT_A_002,10,10,COMPLETE
LOT_A_002_W11,LOT_A_002,11,11,COMPLETE
LOT_A_002_W12,LOT_A_002,12,12,COMPLETE
LOT_A_002_W13,LOT_A_002,13,13,COMPLETE
LOT_A_002_W14,LOT_A_002,14,14,COMPLETE
